R:								
L:68.85	988.280	234.860	2.320	-0.240	-4.330	266.670	649.080	
R:423.83	-911.130	30.030	-4.030	-2.750	4.330	331.140	630.040	
L:66.65	993.650	233.150	2.200	-0.430	-4.150	269.350	635.410	
R:424.07	-896.480	23.440	-3.230	-3.230	4.390	332.360	628.080	
L:62.26	986.080	221.190	1.650	-0.790	-3.420	269.840	623.440	
R:441.16	-886.230	23.190	-4.210	-2.560	4.210	336.020	627.350	
L:64.94	985.110	237.300	2.810	-1.160	-3.110	270.820	610.500	
R:455.57	-890.140	25.150	-4.760	-1.040	3.970	339.190	624.180	
L:59.81	986.330	235.840	2.380	-1.160	-3.170	272.530	602.690	
R:443.36	-885.250	12.940	-5.680	1.830	3.420	343.100	622.950	
L:50.05	988.040	241.460	2.930	-2.010	-2.870	271.550	599.020	
R:427.49	-886.720	13.920	-6.710	2.990	3.110	346.030	621.250	
L:59.57	985.840	245.360	3.110	-3.230	-2.990	270.820	594.630	
R:425.05	-890.620	21.480	-6.710	1.830	2.750	348.960	620.270	
L:53.71	977.780	244.630	3.480	-4.270	-2.810	272.530	589.010	
R:432.13	-891.110	22.220	-6.530	1.590	2.440	351.650	618.070	
L:52.49	976.810	251.710	3.910	-5.370	-2.990	272.530	590.230	
R:432.62	-901.860	17.090	-6.590	0.790	1.830	351.890	617.830	
L:50.78	985.600	245.360	3.780	-5.800	-3.480	272.280	590.720	
R:428.71	-904.300	12.940	-6.230	0.180	1.530	352.630	617.580	
L:68.12	985.110	247.800	3.910	-5.980	-3.780	271.550	589.500	
R:439.45	-896.730	13.670	-5.550	-0.490	1.530	353.850	617.090	
L:71.29	987.300	234.860	3.660	-4.580	-4.390	271.790	589.500	
R:438.48	-894.780	12.700	-5.980	0.490	1.340	353.850	614.650	
L:53.96	994.140	246.830	4.090	-3.600	-4.520	271.060	588.770	
R:432.62	-894.780	10.500	-5.680	0.550	1.650	354.330	617.340	
L:55.18	983.890	249.510	3.540	-4.880	-4.520	270.570	588.280	
R:429.69	-894.040	12.700	-5.620	0.670	1.770	355.560	616.850	
L:53.96	971.920	239.010	3.600	-5.430	-4.150	272.040	588.770	
R:435.30	-895.750	10.010	-5.680	0.430	1.650	356.040	616.360	
L:48.10	978.030	245.850	4.150	-5.070	-4.520	269.600	591.450	
R:443.85	-891.360	18.800	-5.490	0.000	2.010	356.290	616.850	
L:64.45	987.790	274.170	4.030	-6.350	-4.940	270.570	593.410	
R:445.31	-890.140	5.620	-5.370	0.310	2.260	355.310	613.920	
L:53.71	983.400	245.120	2.810	-6.350	-5.490	270.090	595.600	
R:439.70	-895.510	4.640	-5.860	0.310	3.050	356.290	612.450	
L:40.28	999.270	239.010	3.780	-6.770	-5.980	268.620	595.360	
R:431.64	-896.480	6.350	-5.310	0.000	3.050	354.820	610.500	
L:36.13	1000.240	255.860	2.870	-7.510	-6.160	270.090	593.410	
R:427.73	-893.070	4.880	-5.070	-0.670	3.110	356.290	610.260	
L:43.95	980.960	246.340	2.080	-8.790	-6.530	269.110	594.870	
R:425.05	-884.770	10.500	-5.070	-1.220	3.720	355.560	608.550	
L:45.17	982.910	251.710	2.690	-9.160	-6.900	269.350	589.010	
R:434.33	-891.360	12.700	-4.880	-2.200	4.390	355.070	608.790	
L:39.79	989.990	248.780	2.620	-9.220	-7.200	270.090	591.700	
R:432.86	-893.550	17.330	-4.760	-2.380	5.130	355.070	604.400	
L:44.68	991.210	248.050	2.500	-10.010	-7.260	268.620	591.450	
R:440.19	-889.650	0.240	-4.580	-2.010	5.310	354.330	600.490	
L:45.90	981.450	235.600	2.690	-10.800	-7.570	269.840	591.940	
R:440.92	-893.800	1.710	-5.250	-2.260	5.980	354.330	606.350	
L:53.71	985.110	249.760	3.850	-10.740	-7.140	269.350	586.320	
R:424.56	-895.020	10.250	-5.490	-1.400	6.350	353.110	604.880	
L:51.03	979.000	238.770	3.170	-10.500	-7.630	268.620	596.340	
R:427.25	-888.180	14.160	-5.740	-1.650	6.350	351.400	606.590	
L:49.07	977.050	253.420	4.090	-9.830	-8.120	268.380	602.440	
R:423.58	-885.010	15.870	-5.980	-3.420	6.410	351.890	606.350	
L:37.35	985.350	257.320	3.910	-9.340	-8.610	268.380	606.590	
R:422.61	-888.670	20.510	-5.490	-5.130	6.350	348.230	602.930	
L:40.77	986.820	246.580	3.480	-8.610	-9.220	268.860	611.720	
R:439.70	-900.150	12.450	-5.550	-5.800	7.390	346.030	609.520	
L:56.64	994.380	227.050	3.480	-8.000	-9.220	267.890	616.360	
R:460.94	-892.580	-1.220	-6.100	-4.460	8.540	345.540	611.970	
L:88.62	1001.950	255.130	4.520	-6.470	-9.460	265.450	621.250	
R:466.55	-887.940	0.000	-7.510	-2.500	9.580	346.520	614.160	
L:67.14	994.140	270.510	3.600	-3.660	-9.700	266.180	620.270	
R:461.67	-894.290	0.980	-8.120	-0.240	10.440	344.080	613.190	
L:57.13	964.110	260.010	3.360	-1.890	-10.010	265.200	619.290	
R:446.53	-892.330	-5.370	-8.540	1.400	11.780	343.830	615.380	
L:46.88	964.360	260.010	4.390	-0.370	-9.950	264.470	617.580	
R:441.16	-889.650	-5.370	-9.460	2.260	13.370	344.810	617.340	
L:34.18	976.560	248.050	4.460	-0.060	-10.380	263.000	615.380	
R:434.57	-903.810	1.460	-9.770	0.610	14.220	345.540	620.020	
