@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute helper-1 numeric
@attribute helper-2 numeric
@attribute helper-3 numeric
@attribute helper-4 numeric
@attribute helper-5 numeric
@attribute helper-6 numeric
@attribute helper-7 numeric
@attribute giveme-1 numeric
@attribute giveme-2 numeric
@attribute giveme-3 numeric
@attribute giveme-4 numeric
@attribute giveme-5 numeric
@attribute giveme-6 numeric

@data
8733,'2020/02/19 11:42:09:754',14,326,252,100,4,2,1,1,10,?,?,?,?,?
8734,'2020/02/19 11:42:09:818',14,312,252,100,4,2,1,1,10,?,?,?,?,?
8735,'2020/02/19 11:42:09:818',14,312,237,100,4,2,1,1,10,?,?,?,?,?
8736,'2020/02/19 11:42:09:818',14,312,237,99,4,2,1,1,10,?,?,?,?,?
8737,'2020/02/19 11:42:09:818',14,312,237,99,3,2,1,1,10,?,?,?,?,?
8738,'2020/02/19 11:42:09:819',14,312,237,99,3,1,1,1,10,?,?,?,?,?
8739,'2020/02/19 11:42:09:819',14,312,237,99,3,1,1,1,10,?,?,?,?,?
8740,'2020/02/19 11:42:09:819',14,312,237,99,3,1,1,1,10,?,?,?,?,?
8741,'2020/02/19 11:42:09:881',14,294,237,99,3,1,1,1,10,?,?,?,?,?
8742,'2020/02/19 11:42:09:881',14,294,226,99,3,1,1,1,10,?,?,?,?,?
8743,'2020/02/19 11:42:09:881',14,294,226,96,3,1,1,1,10,?,?,?,?,?
8744,'2020/02/19 11:42:09:881',14,294,226,96,3,1,1,1,10,?,?,?,?,?
8745,'2020/02/19 11:42:09:882',14,294,226,96,3,1,1,1,10,?,?,?,?,?
8746,'2020/02/19 11:42:09:882',14,294,226,96,3,1,1,1,10,?,?,?,?,?
8747,'2020/02/19 11:42:09:882',14,294,226,96,3,1,1,2,10,?,?,?,?,?
8748,'2020/02/19 11:42:09:923',14,268,226,96,3,1,1,2,10,?,?,?,?,?
8749,'2020/02/19 11:42:09:923',14,268,219,96,3,1,1,2,10,?,?,?,?,?
8750,'2020/02/19 11:42:09:923',14,268,219,90,3,1,1,2,10,?,?,?,?,?
8751,'2020/02/19 11:42:09:923',14,268,219,90,3,1,1,2,10,?,?,?,?,?
8752,'2020/02/19 11:42:09:923',14,268,219,90,3,1,1,2,10,?,?,?,?,?
8753,'2020/02/19 11:42:09:924',14,268,219,90,3,1,1,2,10,?,?,?,?,?
8754,'2020/02/19 11:42:09:924',14,268,219,90,3,1,1,1,10,?,?,?,?,?
8755,'2020/02/19 11:42:09:965',14,243,219,90,3,1,1,1,10,?,?,?,?,?
8756,'2020/02/19 11:42:09:966',14,243,216,90,3,1,1,1,10,?,?,?,?,?
8757,'2020/02/19 11:42:09:966',14,243,216,88,3,1,1,1,10,?,?,?,?,?
8758,'2020/02/19 11:42:09:966',14,243,216,88,4,1,1,1,10,?,?,?,?,?
8759,'2020/02/19 11:42:09:966',14,243,216,88,4,1,1,1,10,?,?,?,?,?
8760,'2020/02/19 11:42:09:966',14,243,216,88,4,1,1,1,10,?,?,?,?,?
8761,'2020/02/19 11:42:09:967',14,243,216,88,4,1,1,2,10,?,?,?,?,?
8762,'2020/02/19 11:42:10:018',14,225,216,88,4,1,1,2,10,?,?,?,?,?
8763,'2020/02/19 11:42:10:019',14,225,212,88,4,1,1,2,10,?,?,?,?,?
8764,'2020/02/19 11:42:10:019',14,225,212,86,4,1,1,2,10,?,?,?,?,?
8765,'2020/02/19 11:42:10:019',14,225,212,86,3,1,1,2,10,?,?,?,?,?
8766,'2020/02/19 11:42:10:019',14,225,212,86,3,1,1,2,10,?,?,?,?,?
8767,'2020/02/19 11:42:10:020',14,225,212,86,3,1,1,2,10,?,?,?,?,?
8768,'2020/02/19 11:42:10:020',14,225,212,86,3,1,1,2,10,?,?,?,?,?
8769,'2020/02/19 11:42:10:073',14,209,212,86,3,1,1,2,10,?,?,?,?,?
8770,'2020/02/19 11:42:10:073',14,209,209,86,3,1,1,2,10,?,?,?,?,?
8771,'2020/02/19 11:42:10:073',14,209,209,86,3,1,1,2,10,?,?,?,?,?
8772,'2020/02/19 11:42:10:073',14,209,209,86,4,1,1,2,10,?,?,?,?,?
8773,'2020/02/19 11:42:10:073',14,209,209,86,4,1,1,2,10,?,?,?,?,?
8774,'2020/02/19 11:42:10:073',14,209,209,86,4,1,1,2,10,?,?,?,?,?
8775,'2020/02/19 11:42:10:073',14,209,209,86,4,1,1,1,10,?,?,?,?,?
