@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute helper-1 numeric
@attribute helper-2 numeric
@attribute helper-3 numeric
@attribute helper-4 numeric
@attribute helper-5 numeric
@attribute helper-6 numeric
@attribute helper-7 numeric
@attribute processing-1 numeric
@attribute processing-2 numeric
@attribute processing-3 numeric
@attribute processing-4 numeric
@attribute processing-5 numeric
@attribute processing-6 numeric
@attribute processing-7 numeric

@data
245,'2022/03/31 18:29:46:937',2,40,128,26,2,2,1,1,0,1,?,?,?,?,?
246,'2022/03/31 18:29:47:091',2,40,142,26,2,2,2,2,0,1,?,?,?,?,?
247,'2022/03/31 18:29:47:243',2,39,148,26,2,2,2,2,0,1,?,?,?,?,?
248,'2022/03/31 18:29:47:404',2,40,80,25,2,2,2,2,0,1,?,?,?,?,?
249,'2022/03/31 18:29:47:560',2,40,49,26,2,2,2,2,0,1,?,?,?,?,?
250,'2022/03/31 18:29:47:711',2,39,52,27,1,2,2,2,0,1,?,?,?,?,?
251,'2022/03/31 18:29:47:866',2,39,60,28,1,2,2,2,0,1,?,?,?,?,?
252,'2022/03/31 18:29:48:020',2,39,57,29,1,2,2,2,0,1,?,?,?,?,?
253,'2022/03/31 18:29:48:177',2,40,51,29,1,2,2,2,0,1,?,?,?,?,?
254,'2022/03/31 18:29:48:332',2,40,47,28,1,2,2,2,0,1,?,?,?,?,?
255,'2022/03/31 18:29:48:487',2,40,36,26,2,2,2,2,0,1,?,?,?,?,?
256,'2022/03/31 18:29:48:641',2,39,38,26,1,2,2,2,0,1,?,?,?,?,?
257,'2022/03/31 18:29:48:796',2,39,43,26,1,2,2,2,0,1,?,?,?,?,?
258,'2022/03/31 18:29:48:950',2,39,49,26,1,2,2,2,0,1,?,?,?,?,?
259,'2022/03/31 18:29:49:104',2,40,47,26,1,2,2,2,0,1,?,?,?,?,?
260,'2022/03/31 18:29:49:257',2,40,40,26,1,2,2,2,0,1,?,?,?,?,?
261,'2022/03/31 18:29:49:413',2,40,32,26,1,2,2,2,0,1,?,?,?,?,?
262,'2022/03/31 18:29:49:570',2,40,28,26,1,2,2,2,0,1,?,?,?,?,?
