@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute processing-1 numeric
@attribute processing-2 numeric
@attribute processing-3 numeric
@attribute processing-4 numeric
@attribute processing-5 numeric
@attribute processing-6 numeric
@attribute processing-7 numeric

@data
62,'2019/12/17 16:59:53:644',1,81,30,49,937,69,2,2,0,?,?,?,?,?,?
63,'2019/12/17 16:59:53:746',1,80,30,49,935,68,2,2,0,?,?,?,?,?,?
64,'2019/12/17 16:59:53:846',1,80,30,48,934,68,2,2,0,?,?,?,?,?,?
65,'2019/12/17 16:59:53:948',1,82,30,49,933,68,2,2,0,?,?,?,?,?,?
66,'2019/12/17 16:59:54:050',1,85,30,49,932,70,2,2,0,?,?,?,?,?,?
67,'2019/12/17 16:59:54:152',1,89,30,50,931,72,2,2,0,?,?,?,?,?,?
68,'2019/12/17 16:59:54:253',1,95,30,51,931,112,2,2,0,?,?,?,?,?,?
69,'2019/12/17 16:59:54:355',1,105,30,50,931,168,2,2,0,?,?,?,?,?,?
70,'2019/12/17 16:59:54:456',1,112,30,50,931,287,2,2,0,?,?,?,?,?,?
71,'2019/12/17 16:59:54:558',1,116,30,49,931,386,2,2,0,?,?,?,?,?,?
72,'2019/12/17 16:59:54:659',1,120,30,49,932,494,2,2,0,?,?,?,?,?,?
73,'2019/12/17 16:59:54:761',1,122,30,48,932,585,2,2,0,?,?,?,?,?,?
74,'2019/12/17 16:59:54:863',1,118,30,48,933,661,2,2,0,?,?,?,?,?,?
75,'2019/12/17 16:59:54:963',1,110,30,48,933,690,2,2,0,?,?,?,?,?,?
76,'2019/12/17 16:59:55:065',1,102,30,49,933,717,2,2,0,?,?,?,?,?,?
77,'2019/12/17 16:59:55:165',1,93,30,49,933,751,2,2,0,?,?,?,?,?,?
78,'2019/12/17 16:59:55:267',1,91,30,49,933,769,2,2,0,?,?,?,?,?,?
79,'2019/12/17 16:59:55:369',1,91,30,49,932,790,2,2,0,?,?,?,?,?,?
80,'2019/12/17 16:59:55:471',1,99,30,48,933,809,2,2,0,?,?,?,?,?,?
81,'2019/12/17 16:59:55:572',1,100,30,48,933,826,2,2,0,?,?,?,?,?,?
82,'2019/12/17 16:59:55:674',1,103,30,48,933,842,2,2,0,?,?,?,?,?,?
83,'2019/12/17 16:59:55:775',1,102,30,49,934,856,2,2,0,?,?,?,?,?,?
84,'2019/12/17 16:59:55:877',1,100,30,49,934,864,2,2,0,?,?,?,?,?,?
85,'2019/12/17 16:59:55:978',1,96,30,49,934,867,2,2,0,?,?,?,?,?,?
86,'2019/12/17 16:59:56:080',1,93,30,49,934,868,2,2,0,?,?,?,?,?,?
87,'2019/12/17 16:59:56:181',1,92,30,49,935,865,2,2,0,?,?,?,?,?,?
88,'2019/12/17 16:59:56:281',1,90,30,48,935,861,2,2,0,?,?,?,?,?,?
89,'2019/12/17 16:59:56:383',1,87,30,49,935,855,2,2,0,?,?,?,?,?,?
90,'2019/12/17 16:59:56:484',1,86,30,51,935,849,2,2,0,?,?,?,?,?,?
91,'2019/12/17 16:59:56:586',1,87,30,51,934,843,1,2,0,?,?,?,?,?,?
92,'2019/12/17 16:59:56:688',1,88,30,51,934,836,2,2,0,?,?,?,?,?,?
93,'2019/12/17 16:59:56:789',1,93,30,50,934,831,2,2,0,?,?,?,?,?,?
94,'2019/12/17 16:59:56:889',1,102,30,49,934,827,2,2,0,?,?,?,?,?,?
95,'2019/12/17 16:59:56:991',1,108,30,48,934,826,2,2,0,?,?,?,?,?,?
96,'2019/12/17 16:59:57:092',1,113,30,47,934,829,2,2,0,?,?,?,?,?,?
97,'2019/12/17 16:59:57:193',1,120,30,48,934,832,2,2,0,?,?,?,?,?,?
98,'2019/12/17 16:59:57:295',1,126,30,48,934,836,2,2,0,?,?,?,?,?,?
99,'2019/12/17 16:59:57:397',1,131,30,49,935,841,2,2,0,?,?,?,?,?,?
100,'2019/12/17 16:59:57:499',1,136,30,49,935,845,2,2,0,?,?,?,?,?,?
101,'2019/12/17 16:59:57:600',1,137,30,49,935,848,2,2,0,?,?,?,?,?,?
102,'2019/12/17 16:59:57:701',1,135,30,49,936,848,2,2,0,?,?,?,?,?,?
103,'2019/12/17 16:59:57:802',1,133,30,50,935,847,2,2,0,?,?,?,?,?,?
104,'2019/12/17 16:59:57:903',1,126,30,49,936,844,2,2,0,?,?,?,?,?,?
105,'2019/12/17 16:59:58:004',1,121,30,50,936,842,2,2,0,?,?,?,?,?,?
106,'2019/12/17 16:59:58:105',1,121,30,49,935,840,2,1,0,?,?,?,?,?,?
107,'2019/12/17 16:59:58:207',1,121,30,51,935,839,2,2,0,?,?,?,?,?,?
108,'2019/12/17 16:59:58:308',1,120,30,50,936,839,2,2,0,?,?,?,?,?,?
109,'2019/12/17 16:59:58:409',1,117,30,50,936,840,2,2,0,?,?,?,?,?,?
110,'2019/12/17 16:59:58:510',1,112,30,49,935,842,2,2,0,?,?,?,?,?,?
111,'2019/12/17 16:59:58:612',1,101,30,50,935,845,2,2,0,?,?,?,?,?,?
112,'2019/12/17 17:00:09:055',2,1009,30,49,920,892,2,2,1,?,?,?,?,?,?
113,'2019/12/17 17:00:09:157',2,1021,30,49,919,892,2,2,1,?,?,?,?,?,?
114,'2019/12/17 17:00:09:259',2,1029,30,50,916,894,2,2,1,?,?,?,?,?,?
115,'2019/12/17 17:00:09:361',2,1033,30,51,915,893,2,2,1,?,?,?,?,?,?
116,'2019/12/17 17:00:09:463',2,1009,30,50,915,891,2,2,1,?,?,?,?,?,?
117,'2019/12/17 17:00:09:564',2,996,30,50,916,889,2,2,1,?,?,?,?,?,?
118,'2019/12/17 17:00:09:665',2,996,31,50,917,890,2,2,1,?,?,?,?,?,?
119,'2019/12/17 17:00:09:766',2,989,30,49,917,891,2,2,1,?,?,?,?,?,?
120,'2019/12/17 17:00:09:867',2,994,30,49,916,893,2,2,1,?,?,?,?,?,?
121,'2019/12/17 17:00:09:969',2,1015,30,50,915,895,2,1,1,?,?,?,?,?,?
122,'2019/12/17 17:00:10:070',2,1024,30,50,914,898,2,2,1,?,?,?,?,?,?
123,'2019/12/17 17:00:10:172',2,1032,30,50,911,899,2,2,1,?,?,?,?,?,?
124,'2019/12/17 17:00:10:273',2,1048,30,50,908,900,2,2,1,?,?,?,?,?,?
125,'2019/12/17 17:00:10:375',2,1061,30,50,906,901,2,2,1,?,?,?,?,?,?
126,'2019/12/17 17:00:10:476',2,1040,30,50,900,901,2,2,1,?,?,?,?,?,?
127,'2019/12/17 17:00:10:577',2,1033,30,49,894,901,2,2,1,?,?,?,?,?,?
128,'2019/12/17 17:00:10:679',2,1015,30,50,891,899,2,2,1,?,?,?,?,?,?
129,'2019/12/17 17:00:10:780',2,1012,30,50,887,898,2,2,1,?,?,?,?,?,?
130,'2019/12/17 17:00:10:882',2,1009,30,50,882,895,2,2,1,?,?,?,?,?,?
131,'2019/12/17 17:00:10:983',2,1040,30,50,880,894,1,2,1,?,?,?,?,?,?
132,'2019/12/17 17:00:11:085',2,1067,30,50,878,893,2,2,1,?,?,?,?,?,?
133,'2019/12/17 17:00:11:187',2,1081,30,49,873,892,2,2,1,?,?,?,?,?,?
