@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute helper-1 numeric
@attribute helper-2 numeric
@attribute helper-3 numeric
@attribute helper-4 numeric
@attribute helper-5 numeric
@attribute helper-6 numeric
@attribute helper-7 numeric
@attribute processing-1 numeric
@attribute processing-2 numeric
@attribute processing-3 numeric
@attribute processing-4 numeric
@attribute processing-5 numeric
@attribute processing-6 numeric
@attribute processing-7 numeric
@attribute processing-8 numeric
@attribute processing-9 numeric
@attribute processing-10 numeric

@data
654,'2021/10/25 17:01:54:340',9,266,109,49,931,1052,696,2,?,0.5,?,?,?,?,?,?,?,?
655,'2021/10/25 17:01:54:494',9,265,113,51,931,1051,702,2,?,0.5,?,?,?,?,?,?,?,?
656,'2021/10/25 17:01:54:651',9,256,112,50,931,1051,706,2,?,0.5,?,?,?,?,?,?,?,?
657,'2021/10/25 17:01:54:805',9,245,113,50,930,1051,709,2,?,0.5,?,?,?,?,?,?,?,?
658,'2021/10/25 17:01:54:959',9,215,107,50,930,1051,711,2,?,0.5,?,?,?,?,?,?,?,?
659,'2021/10/25 17:01:55:115',9,205,101,49,929,1051,712,2,?,0.5,?,?,?,?,?,?,?,?
660,'2021/10/25 17:01:55:270',9,206,99,47,928,1050,714,2,?,0.5,?,?,?,?,?,?,?,?
661,'2021/10/25 17:01:55:424',9,237,96,44,927,1051,715,1,?,0.5,?,?,?,?,?,?,?,?
662,'2021/10/25 17:01:55:581',9,261,90,43,924,1051,716,1,?,0.5,?,?,?,?,?,?,?,?
663,'2021/10/25 17:01:55:736',9,283,86,41,921,1051,718,2,?,0.5,?,?,?,?,?,?,?,?
664,'2021/10/25 17:01:55:890',9,301,79,41,920,1048,721,2,?,0.5,?,?,?,?,?,?,?,?
665,'2021/10/25 17:01:56:047',9,314,80,41,920,1046,723,2,?,0.5,?,?,?,?,?,?,?,?
666,'2021/10/25 17:01:56:203',9,322,88,41,924,1044,724,2,?,0.5,?,?,?,?,?,?,?,?
667,'2021/10/25 17:01:56:358',9,326,97,43,927,1044,716,2,?,0.5,?,?,?,?,?,?,?,?
668,'2021/10/25 17:01:56:514',9,328,111,42,927,1046,707,2,?,0.5,?,?,?,?,?,?,?,?
669,'2021/10/25 17:01:56:670',9,325,124,42,925,1048,704,2,?,0.5,?,?,?,?,?,?,?,?
670,'2021/10/25 17:01:56:827',9,314,135,41,921,1050,700,2,?,0.5,?,?,?,?,?,?,?,?
671,'2021/10/25 17:01:56:983',9,309,132,42,919,1050,709,2,?,0.5,?,?,?,?,?,?,?,?
672,'2021/10/25 17:01:57:139',9,306,113,42,921,1049,716,2,?,0.5,?,?,?,?,?,?,?,?
673,'2021/10/25 17:01:57:297',9,299,106,42,924,1048,723,2,?,0.5,?,?,?,?,?,?,?,?
674,'2021/10/25 17:01:57:450',9,295,115,43,928,1046,723,2,?,0.5,?,?,?,?,?,?,?,?
675,'2021/10/25 17:01:57:603',9,303,136,42,931,1046,716,2,?,0.5,?,?,?,?,?,?,?,?
676,'2021/10/25 17:01:57:758',9,296,154,42,932,1048,707,2,?,0.5,?,?,?,?,?,?,?,?
677,'2021/10/25 17:01:57:914',9,313,150,42,931,1050,699,2,?,0.5,?,?,?,?,?,?,?,?
678,'2021/10/25 17:01:58:070',9,320,131,42,926,1051,699,2,?,0.5,?,?,?,?,?,?,?,?
679,'2021/10/25 17:01:58:225',9,319,113,45,921,1052,709,2,?,0.5,?,?,?,?,?,?,?,?
680,'2021/10/25 17:01:58:380',9,327,103,45,918,1050,718,1,?,0.5,?,?,?,?,?,?,?,?
681,'2021/10/25 17:01:58:536',9,309,101,46,918,1048,725,1,?,0.5,?,?,?,?,?,?,?,?
682,'2021/10/25 17:01:58:691',9,291,107,45,923,1046,724,1,?,0.5,?,?,?,?,?,?,?,?
683,'2021/10/25 17:01:58:846',9,269,118,43,927,1045,719,2,?,0.5,?,?,?,?,?,?,?,?
684,'2021/10/25 17:01:59:003',9,240,130,45,929,1046,712,2,?,0.5,?,?,?,?,?,?,?,?
685,'2021/10/25 17:01:59:158',9,231,123,45,928,1049,703,2,?,0.5,?,?,?,?,?,?,?,?
686,'2021/10/25 17:01:59:315',9,228,118,46,924,1050,700,2,?,0.5,?,?,?,?,?,?,?,?
687,'2021/10/25 17:01:59:471',9,240,107,45,921,1051,704,2,?,0.5,?,?,?,?,?,?,?,?
688,'2021/10/25 17:01:59:625',9,239,97,46,921,1052,710,2,?,0.5,?,?,?,?,?,?,?,?
689,'2021/10/25 17:01:59:781',9,237,89,46,924,1051,714,2,?,0.5,?,?,?,?,?,?,?,?
690,'2021/10/25 17:01:59:936',9,213,86,47,929,1050,708,2,?,0.5,?,?,?,?,?,?,?,?
691,'2021/10/25 17:02:00:090',9,194,94,46,934,1050,702,2,?,0.5,?,?,?,?,?,?,?,?
692,'2021/10/25 17:02:00:246',9,199,102,46,938,1050,692,1,?,0.5,?,?,?,?,?,?,?,?
693,'2021/10/25 17:02:00:402',9,225,103,46,940,1051,686,2,?,0.5,?,?,?,?,?,?,?,?
694,'2021/10/25 17:02:00:559',9,213,102,47,939,1052,684,2,?,0.5,?,?,?,?,?,?,?,?
695,'2021/10/25 17:02:00:715',9,216,100,45,934,1053,684,1,?,0.5,?,?,?,?,?,?,?,?
696,'2021/10/25 17:02:00:871',9,202,100,44,930,1053,694,1,?,0.5,?,?,?,?,?,?,?,?
697,'2021/10/25 17:02:01:028',9,196,102,50,928,1053,702,1,?,0.5,?,?,?,?,?,?,?,?
698,'2021/10/25 17:02:01:186',9,200,88,55,930,1053,714,2,?,0.5,?,?,?,?,?,?,?,?
699,'2021/10/25 17:02:01:341',9,182,88,57,935,1051,717,2,?,0.5,?,?,?,?,?,?,?,?
700,'2021/10/25 17:02:01:496',9,184,80,58,938,1050,718,2,?,0.5,?,?,?,?,?,?,?,?
701,'2021/10/25 17:02:01:651',9,182,93,48,939,1049,715,2,?,0.5,?,?,?,?,?,?,?,?
702,'2021/10/25 17:02:01:806',9,191,94,47,938,1049,713,2,?,0.5,?,?,?,?,?,?,?,?
703,'2021/10/25 17:02:01:962',9,184,104,47,935,1050,714,2,?,0.5,?,?,?,?,?,?,?,?
704,'2021/10/25 17:02:02:119',9,179,105,48,927,1050,720,2,?,0.5,?,?,?,?,?,?,?,?
705,'2021/10/25 17:02:02:275',9,175,104,51,924,1051,727,2,?,0.5,?,?,?,?,?,?,?,?
706,'2021/10/25 17:02:02:432',9,176,104,49,920,1051,736,1,?,0.5,?,?,?,?,?,?,?,?
707,'2021/10/25 17:02:02:587',9,181,97,48,920,1051,742,1,?,0.5,?,?,?,?,?,?,?,?
708,'2021/10/25 17:02:02:743',9,198,92,49,922,1050,749,1,?,0.5,?,?,?,?,?,?,?,?
709,'2021/10/25 17:02:02:899',9,200,85,48,924,1049,753,1,?,0.5,?,?,?,?,?,?,?,?
710,'2021/10/25 17:02:03:055',9,192,84,50,925,1047,754,2,?,0.5,?,?,?,?,?,?,?,?
711,'2021/10/25 17:02:03:211',9,176,81,53,925,1046,754,2,?,0.5,?,?,?,?,?,?,?,?
712,'2021/10/25 17:02:03:369',9,187,82,57,924,1047,752,2,?,0.5,?,?,?,?,?,?,?,?
713,'2021/10/25 17:02:03:525',9,195,88,55,923,1047,752,2,?,0.5,?,?,?,?,?,?,?,?
714,'2021/10/25 17:02:03:681',9,214,92,51,922,1049,751,2,?,0.5,?,?,?,?,?,?,?,?
715,'2021/10/25 17:02:03:837',9,214,98,47,923,1049,751,2,?,0.5,?,?,?,?,?,?,?,?
716,'2021/10/25 17:02:03:993',9,216,97,45,926,1050,750,2,?,0.5,?,?,?,?,?,?,?,?
717,'2021/10/25 17:02:04:149',9,219,94,45,929,1050,747,2,?,0.5,?,?,?,?,?,?,?,?
718,'2021/10/25 17:02:04:305',9,222,87,46,932,1050,742,2,?,0.5,?,?,?,?,?,?,?,?
719,'2021/10/25 17:02:04:461',9,211,86,47,934,1050,738,2,?,0.5,?,?,?,?,?,?,?,?
720,'2021/10/25 17:02:04:619',9,210,94,46,934,1050,731,2,?,0.5,?,?,?,?,?,?,?,?
721,'2021/10/25 17:02:04:774',9,199,96,47,932,1051,727,2,?,0.5,?,?,?,?,?,?,?,?
722,'2021/10/25 17:02:04:929',9,196,94,50,931,1052,726,2,?,0.5,?,?,?,?,?,?,?,?
723,'2021/10/25 17:02:05:086',9,197,88,61,931,1052,726,2,?,0.5,?,?,?,?,?,?,?,?
724,'2021/10/25 17:02:05:241',9,194,79,69,932,1052,727,2,?,0.5,?,?,?,?,?,?,?,?
725,'2021/10/25 17:02:05:398',9,204,77,75,935,1052,729,2,?,0.5,?,?,?,?,?,?,?,?
726,'2021/10/25 17:02:05:553',9,211,83,76,939,1052,729,2,?,0.5,?,?,?,?,?,?,?,?
727,'2021/10/25 17:02:05:710',9,206,86,67,942,1052,723,1,?,0.5,?,?,?,?,?,?,?,?
728,'2021/10/25 17:02:05:866',9,199,91,57,944,1052,714,1,?,0.5,?,?,?,?,?,?,?,?
729,'2021/10/25 17:02:06:021',9,195,93,51,945,1052,706,1,?,0.5,?,?,?,?,?,?,?,?
730,'2021/10/25 17:02:06:178',9,197,90,47,943,1053,703,1,?,0.5,?,?,?,?,?,?,?,?
731,'2021/10/25 17:02:06:333',9,205,88,45,941,1053,706,2,?,0.5,?,?,?,?,?,?,?,?
732,'2021/10/25 17:02:06:488',9,222,81,47,939,1053,713,2,?,0.5,?,?,?,?,?,?,?,?
733,'2021/10/25 17:02:06:642',9,230,82,47,938,1052,716,2,?,0.5,?,?,?,?,?,?,?,?
734,'2021/10/25 17:02:06:797',9,242,78,47,940,1051,722,2,?,0.5,?,?,?,?,?,?,?,?
735,'2021/10/25 17:02:06:952',9,224,81,46,942,1050,725,2,?,0.5,?,?,?,?,?,?,?,?
736,'2021/10/25 17:03:28:133',10,292,173,38,942,1019,772,2,?,?,1,?,?,?,?,?,?,?
737,'2021/10/25 17:03:28:287',10,287,179,39,950,1013,770,2,?,?,1,?,?,?,?,?,?,?
738,'2021/10/25 17:03:28:443',10,305,237,41,954,1012,760,2,?,?,1,?,?,?,?,?,?,?
739,'2021/10/25 17:03:28:599',10,307,239,69,951,1019,749,2,?,?,1,?,?,?,?,?,?,?
740,'2021/10/25 17:03:28:754',10,288,273,82,944,1030,745,1,?,?,1,?,?,?,?,?,?,?
741,'2021/10/25 17:03:28:913',10,333,174,89,940,888,756,1,?,?,1,?,?,?,?,?,?,?
742,'2021/10/25 17:03:29:070',10,377,140,85,941,701,771,1,?,?,1,?,?,?,?,?,?,?
743,'2021/10/25 17:03:29:226',10,442,134,83,947,321,797,1,?,?,1,?,?,?,?,?,?,?
744,'2021/10/25 17:03:29:382',10,494,144,113,950,101,806,1,?,?,1,?,?,?,?,?,?,?
745,'2021/10/25 17:03:29:539',10,454,152,154,946,261,791,2,?,?,1,?,?,?,?,?,?,?
746,'2021/10/25 17:03:29:692',10,414,187,176,929,540,719,2,?,?,1,?,?,?,?,?,?,?
747,'2021/10/25 17:03:29:849',10,354,205,196,902,824,609,2,?,?,1,?,?,?,?,?,?,?
748,'2021/10/25 17:03:30:005',10,360,184,148,879,1031,477,1,?,?,1,?,?,?,?,?,?,?
749,'2021/10/25 17:03:30:161',10,405,176,155,858,1044,358,2,?,?,1,?,?,?,?,?,?,?
750,'2021/10/25 17:03:30:319',10,481,153,150,860,1049,336,2,?,?,1,?,?,?,?,?,?,?
751,'2021/10/25 17:03:30:476',10,543,154,170,871,1050,377,2,?,?,1,?,?,?,?,?,?,?
752,'2021/10/25 17:03:30:630',10,533,169,164,891,1045,475,2,?,?,1,?,?,?,?,?,?,?
753,'2021/10/25 17:03:30:785',10,562,164,135,918,912,573,2,?,?,1,?,?,?,?,?,?,?
754,'2021/10/25 17:03:30:940',10,544,157,118,937,631,657,2,?,?,1,?,?,?,?,?,?,?
755,'2021/10/25 17:03:31:095',10,513,157,68,950,344,693,1,?,?,1,?,?,?,?,?,?,?
756,'2021/10/25 17:03:31:252',10,460,155,72,955,27,716,1,?,?,1,?,?,?,?,?,?,?
757,'2021/10/25 17:03:31:409',10,391,151,79,960,82,730,2,?,?,1,?,?,?,?,?,?,?
758,'2021/10/25 17:03:31:567',10,302,146,81,962,330,736,2,?,?,1,?,?,?,?,?,?,?
759,'2021/10/25 17:03:31:721',10,324,133,76,955,605,733,2,?,?,1,?,?,?,?,?,?,?
760,'2021/10/25 17:03:31:878',10,375,124,63,950,824,728,2,?,?,1,?,?,?,?,?,?,?
761,'2021/10/25 17:03:32:032',10,394,128,62,939,1002,716,2,?,?,1,?,?,?,?,?,?,?
762,'2021/10/25 17:03:32:188',10,408,178,70,925,1021,686,2,?,?,1,?,?,?,?,?,?,?
763,'2021/10/25 17:03:32:343',10,365,228,77,903,1026,650,1,?,?,1,?,?,?,?,?,?,?
764,'2021/10/25 17:03:32:499',10,350,246,92,877,1033,620,1,?,?,1,?,?,?,?,?,?,?
765,'2021/10/25 17:03:32:653',10,351,233,97,856,1041,608,2,?,?,1,?,?,?,?,?,?,?
766,'2021/10/25 17:03:32:808',10,344,160,126,857,1047,632,2,?,?,1,?,?,?,?,?,?,?
767,'2021/10/25 17:03:32:964',10,386,115,118,882,1049,676,2,?,?,1,?,?,?,?,?,?,?
768,'2021/10/25 17:03:33:119',10,378,108,108,912,1047,714,2,?,?,1,?,?,?,?,?,?,?
769,'2021/10/25 17:03:33:275',10,373,121,82,941,1041,734,2,?,?,1,?,?,?,?,?,?,?
770,'2021/10/25 17:03:33:430',10,385,125,50,961,1034,736,2,?,?,1,?,?,?,?,?,?,?
771,'2021/10/25 17:03:33:585',10,379,128,55,972,1032,725,2,?,?,1,?,?,?,?,?,?,?
772,'2021/10/25 17:03:33:738',10,358,157,60,972,1035,705,2,?,?,1,?,?,?,?,?,?,?
773,'2021/10/25 17:03:33:891',10,325,244,65,967,1040,690,2,?,?,1,?,?,?,?,?,?,?
774,'2021/10/25 17:03:34:047',10,280,335,67,947,1048,641,2,?,?,1,?,?,?,?,?,?,?
775,'2021/10/25 17:03:34:203',10,278,367,73,913,1050,584,2,?,?,1,?,?,?,?,?,?,?
776,'2021/10/25 17:03:34:358',10,301,344,78,871,1047,554,2,?,?,1,?,?,?,?,?,?,?
777,'2021/10/25 17:03:34:513',10,330,247,91,832,1039,562,1,?,?,1,?,?,?,?,?,?,?
778,'2021/10/25 17:03:34:668',10,329,155,111,806,1026,627,2,?,?,1,?,?,?,?,?,?,?
779,'2021/10/25 17:03:34:822',10,275,124,107,804,1017,694,2,?,?,1,?,?,?,?,?,?,?
780,'2021/10/25 17:03:34:978',10,230,129,98,825,1014,745,2,?,?,1,?,?,?,?,?,?,?
781,'2021/10/25 17:03:35:134',10,188,119,75,863,1018,768,2,?,?,1,?,?,?,?,?,?,?
782,'2021/10/25 17:03:35:289',10,212,121,50,904,1025,772,2,?,?,1,?,?,?,?,?,?,?
783,'2021/10/25 17:03:35:445',10,238,114,49,943,1029,756,2,?,?,1,?,?,?,?,?,?,?
784,'2021/10/25 17:03:35:601',10,260,111,60,964,1035,720,2,?,?,1,?,?,?,?,?,?,?
785,'2021/10/25 17:03:35:756',10,288,117,73,968,1044,675,2,?,?,1,?,?,?,?,?,?,?
786,'2021/10/25 17:03:35:911',10,287,195,80,953,1052,624,2,?,?,1,?,?,?,?,?,?,?
787,'2021/10/25 17:03:36:066',10,296,293,94,921,1055,590,2,?,?,1,?,?,?,?,?,?,?
788,'2021/10/25 17:03:36:223',10,328,340,92,882,1055,558,2,?,?,1,?,?,?,?,?,?,?
789,'2021/10/25 17:03:36:380',10,339,347,95,860,1054,545,2,?,?,1,?,?,?,?,?,?,?
790,'2021/10/25 17:03:36:535',10,341,278,99,842,1052,578,2,?,?,1,?,?,?,?,?,?,?
791,'2021/10/25 17:03:36:690',10,332,197,103,845,1051,634,2,?,?,1,?,?,?,?,?,?,?
792,'2021/10/25 17:03:36:846',10,270,172,85,864,1048,697,1,?,?,1,?,?,?,?,?,?,?
793,'2021/10/25 17:03:37:003',10,228,146,79,890,1044,743,2,?,?,1,?,?,?,?,?,?,?
794,'2021/10/25 17:03:37:159',10,210,146,55,921,1039,757,2,?,?,1,?,?,?,?,?,?,?
795,'2021/10/25 17:03:37:315',10,211,140,48,947,1037,742,2,?,?,1,?,?,?,?,?,?,?
796,'2021/10/25 17:03:37:469',10,238,143,56,964,1041,710,2,?,?,1,?,?,?,?,?,?,?
797,'2021/10/25 17:03:37:624',10,272,151,74,966,1048,668,2,?,?,1,?,?,?,?,?,?,?
798,'2021/10/25 17:03:37:780',10,300,181,95,954,1056,592,2,?,?,1,?,?,?,?,?,?,?
799,'2021/10/25 17:03:37:937',10,319,197,105,927,1060,523,2,?,?,1,?,?,?,?,?,?,?
800,'2021/10/25 17:03:38:092',10,310,202,103,892,1059,477,2,?,?,1,?,?,?,?,?,?,?
801,'2021/10/25 17:03:38:248',10,282,193,97,863,1056,482,2,?,?,1,?,?,?,?,?,?,?
802,'2021/10/25 17:03:38:403',10,246,162,105,844,1053,546,1,?,?,1,?,?,?,?,?,?,?
803,'2021/10/25 17:03:38:558',10,215,148,118,841,1050,637,2,?,?,1,?,?,?,?,?,?,?
804,'2021/10/25 17:03:38:713',10,212,141,117,844,1047,687,2,?,?,1,?,?,?,?,?,?,?
805,'2021/10/25 17:03:38:868',10,218,130,113,857,1043,747,2,?,?,1,?,?,?,?,?,?,?
806,'2021/10/25 17:03:39:024',10,241,119,103,883,1037,778,2,?,?,1,?,?,?,?,?,?,?
807,'2021/10/25 17:03:39:178',10,267,126,102,911,1035,769,2,?,?,1,?,?,?,?,?,?,?
808,'2021/10/25 17:03:39:334',10,318,132,104,940,1037,741,2,?,?,1,?,?,?,?,?,?,?
809,'2021/10/25 17:03:39:488',10,394,138,100,952,1044,699,2,?,?,1,?,?,?,?,?,?,?
810,'2021/10/25 17:03:39:644',10,431,143,87,943,1051,644,2,?,?,1,?,?,?,?,?,?,?
811,'2021/10/25 17:03:39:799',10,406,150,90,913,1056,583,2,?,?,1,?,?,?,?,?,?,?
812,'2021/10/25 17:03:39:953',10,364,142,95,868,1055,552,2,?,?,1,?,?,?,?,?,?,?
813,'2021/10/25 17:03:40:107',10,275,142,91,812,1046,551,1,?,?,1,?,?,?,?,?,?,?
814,'2021/10/25 17:03:40:262',10,232,121,89,765,1031,619,2,?,?,1,?,?,?,?,?,?,?
815,'2021/10/25 17:03:40:417',10,232,118,84,750,1019,699,2,?,?,1,?,?,?,?,?,?,?
816,'2021/10/25 17:03:40:574',10,249,114,80,757,1011,768,2,?,?,1,?,?,?,?,?,?,?
817,'2021/10/25 17:03:40:729',10,290,121,72,804,1015,796,2,?,?,1,?,?,?,?,?,?,?
818,'2021/10/25 17:04:06:204',11,219,76,47,946,1040,756,1011,?,?,0,?,?,?,?,?,?,?
819,'2021/10/25 17:04:06:360',11,185,83,45,948,1037,760,1007,?,?,0,?,?,?,?,?,?,?
820,'2021/10/25 17:04:06:516',11,165,84,45,949,1033,764,1003,?,?,0,?,?,?,?,?,?,?
821,'2021/10/25 17:04:06:673',11,157,91,48,952,1009,767,1002,?,?,0,?,?,?,?,?,?,?
822,'2021/10/25 17:04:06:827',11,148,91,52,957,762,765,1002,?,?,0,?,?,?,?,?,?,?
823,'2021/10/25 17:04:06:981',11,141,87,53,964,479,758,997,?,?,0,?,?,?,?,?,?,?
824,'2021/10/25 17:04:07:136',11,139,90,57,970,200,745,998,?,?,0,?,?,?,?,?,?,?
825,'2021/10/25 17:04:07:292',11,144,82,69,970,266,712,1002,?,?,0,?,?,?,?,?,?,?
826,'2021/10/25 17:04:07:449',11,141,82,75,959,546,544,1008,?,?,0,?,?,?,?,?,?,?
827,'2021/10/25 17:04:07:605',11,146,86,94,871,834,346,1012,?,?,0,?,?,?,?,?,?,?
828,'2021/10/25 17:04:07:760',11,149,90,113,642,1039,144,1015,?,?,0,?,?,?,?,?,?,?
829,'2021/10/25 17:04:07:915',11,150,93,129,405,1052,2,1012,?,?,0,?,?,?,?,?,?,?
830,'2021/10/25 17:04:08:072',11,135,91,144,156,1058,2,1008,?,?,0,?,?,?,?,?,?,?
831,'2021/10/25 17:04:08:228',11,131,80,124,232,1059,4,1004,?,?,0,?,?,?,?,?,?,?
832,'2021/10/25 17:04:08:383',11,138,77,110,364,1058,148,1002,?,?,0,?,?,?,?,?,?,?
833,'2021/10/25 17:04:08:538',11,144,79,88,575,1056,329,997,?,?,0,?,?,?,?,?,?,?
834,'2021/10/25 17:04:08:693',11,148,77,69,828,1052,530,990,?,?,0,?,?,?,?,?,?,?
835,'2021/10/25 17:04:08:845',11,147,80,58,885,1047,698,991,?,?,0,?,?,?,?,?,?,?
836,'2021/10/25 17:04:08:999',11,134,78,46,904,1043,750,984,?,?,0,?,?,?,?,?,?,?
837,'2021/10/25 17:04:09:156',11,126,79,43,917,1040,774,975,?,?,0,?,?,?,?,?,?,?
838,'2021/10/25 17:04:09:311',11,131,78,43,926,1039,779,974,?,?,0,?,?,?,?,?,?,?
839,'2021/10/25 17:04:09:466',11,131,78,44,935,1040,775,970,?,?,0,?,?,?,?,?,?,?
840,'2021/10/25 17:04:09:621',11,129,84,44,943,1042,767,970,?,?,0,?,?,?,?,?,?,?
841,'2021/10/25 17:04:09:776',11,135,85,47,948,1044,753,978,?,?,0,?,?,?,?,?,?,?
842,'2021/10/25 17:04:09:931',11,145,86,56,949,1045,736,985,?,?,0,?,?,?,?,?,?,?
843,'2021/10/25 17:04:10:086',11,147,88,67,943,1044,709,980,?,?,0,?,?,?,?,?,?,?
844,'2021/10/25 17:04:10:241',11,145,85,77,934,1044,690,981,?,?,0,?,?,?,?,?,?,?
845,'2021/10/25 17:04:10:397',11,142,78,78,912,1042,656,970,?,?,0,?,?,?,?,?,?,?
846,'2021/10/25 17:04:10:552',11,132,74,76,885,1037,632,979,?,?,0,?,?,?,?,?,?,?
847,'2021/10/25 17:04:10:707',11,132,71,75,860,1032,635,982,?,?,0,?,?,?,?,?,?,?
848,'2021/10/25 17:04:10:862',11,131,71,66,849,1027,653,977,?,?,0,?,?,?,?,?,?,?
849,'2021/10/25 17:04:11:019',11,136,72,57,862,1027,692,972,?,?,0,?,?,?,?,?,?,?
850,'2021/10/25 17:04:11:174',11,137,71,50,887,1032,726,985,?,?,0,?,?,?,?,?,?,?
851,'2021/10/25 17:04:11:328',11,132,67,43,916,1036,740,976,?,?,0,?,?,?,?,?,?,?
852,'2021/10/25 17:04:11:484',11,127,68,43,938,1038,749,961,?,?,0,?,?,?,?,?,?,?
853,'2021/10/25 17:04:11:639',11,132,68,46,951,1038,749,969,?,?,0,?,?,?,?,?,?,?
854,'2021/10/25 17:04:11:796',11,136,72,50,960,1037,747,975,?,?,0,?,?,?,?,?,?,?
855,'2021/10/25 17:04:11:950',11,139,72,52,965,1038,743,968,?,?,0,?,?,?,?,?,?,?
856,'2021/10/25 17:04:12:106',11,147,75,57,967,1039,738,963,?,?,0,?,?,?,?,?,?,?
857,'2021/10/25 17:04:12:262',11,140,74,58,966,1041,728,971,?,?,0,?,?,?,?,?,?,?
858,'2021/10/25 17:04:12:416',11,143,76,58,963,1042,711,957,?,?,0,?,?,?,?,?,?,?
859,'2021/10/25 17:04:12:572',11,145,74,54,958,1043,698,961,?,?,0,?,?,?,?,?,?,?
860,'2021/10/25 17:04:12:728',11,146,73,49,940,1042,676,953,?,?,0,?,?,?,?,?,?,?
861,'2021/10/25 17:04:12:882',11,143,75,46,910,1042,657,934,?,?,0,?,?,?,?,?,?,?
862,'2021/10/25 17:04:13:037',11,154,74,49,876,1042,648,948,?,?,0,?,?,?,?,?,?,?
863,'2021/10/25 17:04:13:194',11,144,79,54,845,1043,635,937,?,?,0,?,?,?,?,?,?,?
864,'2021/10/25 17:04:13:350',11,146,85,59,833,1044,643,921,?,?,0,?,?,?,?,?,?,?
865,'2021/10/25 17:04:13:508',11,145,93,59,841,1044,660,927,?,?,0,?,?,?,?,?,?,?
866,'2021/10/25 17:04:13:664',11,138,100,57,862,1042,689,929,?,?,0,?,?,?,?,?,?,?
867,'2021/10/25 17:04:13:819',11,148,99,52,887,1038,722,917,?,?,0,?,?,?,?,?,?,?
868,'2021/10/25 17:04:13:975',11,151,94,52,907,1032,748,953,?,?,0,?,?,?,?,?,?,?
869,'2021/10/25 17:04:14:129',11,143,91,52,921,1026,759,949,?,?,0,?,?,?,?,?,?,?
870,'2021/10/25 17:04:14:285',11,136,85,55,931,1020,763,950,?,?,0,?,?,?,?,?,?,?
871,'2021/10/25 17:04:14:442',11,126,83,61,942,1019,762,967,?,?,0,?,?,?,?,?,?,?
872,'2021/10/25 17:04:14:596',11,130,77,63,950,1020,756,965,?,?,0,?,?,?,?,?,?,?
873,'2021/10/25 17:04:14:753',11,131,78,59,946,1023,747,968,?,?,0,?,?,?,?,?,?,?
874,'2021/10/25 17:04:14:908',11,133,79,55,931,1026,728,971,?,?,0,?,?,?,?,?,?,?
875,'2021/10/25 17:04:15:065',11,137,78,51,915,1028,711,956,?,?,0,?,?,?,?,?,?,?
876,'2021/10/25 17:04:15:218',11,133,81,50,882,1030,673,964,?,?,0,?,?,?,?,?,?,?
877,'2021/10/25 17:04:15:375',11,133,83,51,847,1031,638,959,?,?,0,?,?,?,?,?,?,?
878,'2021/10/25 17:04:15:530',11,138,87,51,820,1030,610,955,?,?,0,?,?,?,?,?,?,?
879,'2021/10/25 17:04:15:685',11,135,85,49,809,1028,603,955,?,?,0,?,?,?,?,?,?,?
880,'2021/10/25 17:04:15:841',11,141,86,47,816,1027,623,943,?,?,0,?,?,?,?,?,?,?
881,'2021/10/25 17:04:15:995',11,139,78,45,838,1028,647,955,?,?,0,?,?,?,?,?,?,?
882,'2021/10/25 17:04:16:151',11,148,73,48,866,1029,682,962,?,?,0,?,?,?,?,?,?,?
883,'2021/10/25 17:04:16:304',11,141,77,54,888,1030,710,961,?,?,0,?,?,?,?,?,?,?
884,'2021/10/25 17:04:16:459',11,142,74,59,908,1028,731,965,?,?,0,?,?,?,?,?,?,?
885,'2021/10/25 17:04:16:615',11,133,79,61,922,1026,741,957,?,?,0,?,?,?,?,?,?,?
886,'2021/10/25 17:04:16:771',11,131,81,58,936,1024,742,963,?,?,0,?,?,?,?,?,?,?
887,'2021/10/25 17:04:16:927',11,133,81,48,948,1026,736,967,?,?,0,?,?,?,?,?,?,?
888,'2021/10/25 17:04:17:082',11,132,83,45,954,1029,731,969,?,?,0,?,?,?,?,?,?,?
889,'2021/10/25 17:04:17:238',11,139,81,45,949,1033,710,970,?,?,0,?,?,?,?,?,?,?
890,'2021/10/25 17:04:17:391',11,143,79,48,939,1035,698,960,?,?,0,?,?,?,?,?,?,?
891,'2021/10/25 17:04:17:546',11,151,80,58,916,1037,674,963,?,?,0,?,?,?,?,?,?,?
892,'2021/10/25 17:04:17:701',11,159,80,64,881,1038,648,946,?,?,0,?,?,?,?,?,?,?
893,'2021/10/25 17:04:17:855',11,150,80,68,846,1038,620,929,?,?,0,?,?,?,?,?,?,?
894,'2021/10/25 17:04:18:012',11,152,79,65,820,1038,598,920,?,?,0,?,?,?,?,?,?,?
895,'2021/10/25 17:04:18:167',11,143,73,59,811,1038,585,912,?,?,0,?,?,?,?,?,?,?
896,'2021/10/25 17:04:18:321',11,147,71,63,818,1039,594,915,?,?,0,?,?,?,?,?,?,?
897,'2021/10/25 17:04:18:476',11,147,71,82,840,1040,622,932,?,?,0,?,?,?,?,?,?,?
898,'2021/10/25 17:04:39:757',12,127,65,42,937,1040,713,782,?,?,0.44,?,?,?,?,?,?,?
899,'2021/10/25 17:04:39:911',12,123,67,43,936,1041,716,784,?,?,0.44,?,?,?,?,?,?,?
