@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute helper-1 numeric
@attribute helper-2 numeric
@attribute helper-3 numeric
@attribute helper-4 numeric
@attribute helper-5 numeric
@attribute helper-6 numeric
@attribute helper-7 numeric
@attribute processing-1 numeric
@attribute processing-2 numeric
@attribute processing-3 numeric
@attribute processing-4 numeric
@attribute processing-5 numeric
@attribute processing-6 numeric
@attribute processing-7 numeric
@attribute processing-8 numeric
@attribute processing-9 numeric
@attribute processing-10 numeric

@data
54,'2021/10/25 16:53:18:503',1,737,534,515,881,618,2,2,?,?,?,0,?,?,?,?,?,?
55,'2021/10/25 16:53:18:658',1,655,571,331,828,970,2,2,?,?,?,0,?,?,?,?,?,?
56,'2021/10/25 16:53:18:813',1,435,436,168,780,1017,2,2,?,?,?,0,?,?,?,?,?,?
57,'2021/10/25 16:53:18:968',1,234,356,102,786,1024,2,2,?,?,?,0,?,?,?,?,?,?
58,'2021/10/25 16:53:19:123',1,163,301,75,809,1031,2,2,?,?,?,0,?,?,?,?,?,?
59,'2021/10/25 16:53:19:278',1,141,289,71,830,1033,2,2,?,?,?,0,?,?,?,?,?,?
60,'2021/10/25 16:53:19:432',1,140,255,62,844,1032,2,2,?,?,?,0,?,?,?,?,?,?
61,'2021/10/25 16:53:19:589',1,159,274,63,823,1030,2,2,?,?,?,0,?,?,?,?,?,?
62,'2021/10/25 16:53:19:746',1,190,325,79,598,1028,2,2,?,?,?,0,?,?,?,?,?,?
63,'2021/10/25 16:53:19:903',1,209,344,100,384,1032,2,2,?,?,?,0,?,?,?,?,?,?
64,'2021/10/25 16:53:20:058',1,242,391,160,355,1025,2,2,?,?,?,0,?,?,?,?,?,?
65,'2021/10/25 16:53:20:212',1,287,390,182,511,746,2,2,?,?,?,0,?,?,?,?,?,?
66,'2021/10/25 16:53:20:367',1,354,387,227,793,464,2,2,?,?,?,0,?,?,?,?,?,?
67,'2021/10/25 16:53:20:524',1,441,394,274,944,167,2,2,?,?,?,0,?,?,?,?,?,?
68,'2021/10/25 16:53:20:679',1,563,284,302,962,2,2,2,?,?,?,0,?,?,?,?,?,?
69,'2021/10/25 16:53:20:832',1,671,173,370,961,163,2,2,?,?,?,0,?,?,?,?,?,?
70,'2021/10/25 16:53:20:987',1,796,146,462,928,446,2,2,?,?,?,0,?,?,?,?,?,?
71,'2021/10/25 16:53:21:143',1,847,138,411,700,735,2,2,?,?,?,0,?,?,?,?,?,?
