@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute helper-1 numeric
@attribute helper-2 numeric
@attribute helper-3 numeric
@attribute helper-4 numeric
@attribute helper-5 numeric
@attribute helper-6 numeric
@attribute helper-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric

@data
721,'2022/04/20 17:57:39:471',5,105,16,9,2,2,2,2,0.5,1,?,?,?,?,?
722,'2022/04/20 17:57:39:627',5,108,16,8,2,2,2,2,0.5,1,?,?,?,?,?
723,'2022/04/20 17:57:39:784',5,107,17,8,2,1,2,2,0.5,1,?,?,?,?,?
724,'2022/04/20 17:57:39:939',5,107,16,8,2,1,2,2,0.5,1,?,?,?,?,?
725,'2022/04/20 17:57:40:097',5,104,27,8,2,2,2,2,0.5,1,?,?,?,?,?
726,'2022/04/20 17:57:40:252',5,106,37,9,2,2,2,2,0.5,1,?,?,?,?,?
727,'2022/04/20 17:57:40:409',5,105,40,9,1,2,2,2,0.5,1,?,?,?,?,?
728,'2022/04/20 17:57:40:564',5,106,41,9,1,2,2,2,0.5,1,?,?,?,?,?
729,'2022/04/20 17:57:40:721',5,98,28,9,1,2,2,2,0.5,1,?,?,?,?,?
730,'2022/04/20 17:57:40:877',5,97,23,9,2,2,2,2,0.5,1,?,?,?,?,?
731,'2022/04/20 17:57:41:035',5,99,25,9,2,2,2,2,0.5,1,?,?,?,?,?
732,'2022/04/20 17:57:41:193',5,99,25,9,2,2,2,2,0.5,1,?,?,?,?,?
733,'2022/04/20 17:57:41:350',5,102,29,9,2,1,2,2,0.5,1,?,?,?,?,?
734,'2022/04/20 17:57:41:506',5,106,25,9,2,2,2,2,0.5,1,?,?,?,?,?
735,'2022/04/20 17:57:41:663',5,114,24,9,2,2,1,2,0.5,1,?,?,?,?,?
736,'2022/04/20 17:57:41:822',5,120,19,9,2,2,1,2,0.5,1,?,?,?,?,?
737,'2022/04/20 17:57:41:978',5,121,17,9,1,2,2,2,0.5,1,?,?,?,?,?
738,'2022/04/20 17:57:42:135',5,116,17,9,2,2,2,2,0.5,1,?,?,?,?,?
739,'2022/04/20 17:57:42:291',5,108,17,9,2,2,2,2,0.5,1,?,?,?,?,?
740,'2022/04/20 17:57:42:448',5,109,17,8,2,2,2,2,0.5,1,?,?,?,?,?
741,'2022/04/20 17:57:42:603',5,108,17,8,2,2,2,2,0.5,1,?,?,?,?,?
742,'2022/04/20 17:57:42:760',5,107,21,8,2,2,2,2,0.5,1,?,?,?,?,?
743,'2022/04/20 17:57:42:917',5,105,25,8,2,1,2,2,0.5,1,?,?,?,?,?
744,'2022/04/20 17:57:43:071',5,109,34,8,1,1,2,2,0.5,1,?,?,?,?,?
745,'2022/04/20 17:57:43:227',5,115,46,9,1,1,2,2,0.5,1,?,?,?,?,?
746,'2022/04/20 17:57:43:383',5,114,51,9,1,1,2,2,0.5,1,?,?,?,?,?
747,'2022/04/20 17:57:43:539',5,110,54,9,2,2,2,2,0.5,1,?,?,?,?,?
748,'2022/04/20 17:57:43:696',5,101,44,8,1,2,2,2,0.5,1,?,?,?,?,?
749,'2022/04/20 17:57:43:852',5,100,31,9,1,2,2,2,0.5,1,?,?,?,?,?
750,'2022/04/20 17:57:44:008',5,100,19,9,2,2,2,2,0.5,1,?,?,?,?,?
751,'2022/04/20 17:57:44:165',5,100,18,8,2,2,2,2,0.5,1,?,?,?,?,?
752,'2022/04/20 17:57:44:321',5,95,18,8,2,2,2,2,0.5,1,?,?,?,?,?
753,'2022/04/20 17:57:44:478',5,94,18,9,2,2,2,2,0.5,1,?,?,?,?,?
754,'2022/04/20 17:57:44:633',5,94,19,9,2,2,2,2,0.5,1,?,?,?,?,?
755,'2022/04/20 17:57:44:790',5,93,20,9,2,2,2,2,0.5,1,?,?,?,?,?
756,'2022/04/20 17:57:44:946',5,94,20,9,2,2,2,2,0.5,1,?,?,?,?,?
757,'2022/04/20 17:57:45:102',5,108,27,9,2,2,2,2,0.5,1,?,?,?,?,?
758,'2022/04/20 17:57:45:258',5,130,38,9,2,2,2,2,0.5,1,?,?,?,?,?
759,'2022/04/20 17:57:45:412',5,154,52,9,1,2,2,2,0.5,1,?,?,?,?,?
760,'2022/04/20 17:57:45:568',5,159,63,9,2,2,2,2,0.5,1,?,?,?,?,?
761,'2022/04/20 17:57:45:723',5,144,56,8,2,2,2,1,0.5,1,?,?,?,?,?
762,'2022/04/20 17:57:45:880',5,121,43,9,2,2,2,2,0.5,1,?,?,?,?,?
763,'2022/04/20 17:57:46:036',5,108,27,8,2,2,2,2,0.5,1,?,?,?,?,?
764,'2022/04/20 17:57:46:192',5,109,20,8,1,2,2,2,0.5,1,?,?,?,?,?
765,'2022/04/20 17:57:46:348',5,119,17,8,2,2,2,2,0.5,1,?,?,?,?,?
766,'2022/04/20 17:57:46:503',5,124,17,9,2,2,2,2,0.5,1,?,?,?,?,?
767,'2022/04/20 17:57:46:660',5,128,16,9,1,2,2,2,0.5,1,?,?,?,?,?
768,'2022/04/20 17:57:46:817',5,127,16,9,2,2,2,2,0.5,1,?,?,?,?,?
769,'2022/04/20 17:57:46:973',5,119,20,8,2,2,2,2,0.5,1,?,?,?,?,?
770,'2022/04/20 17:57:47:130',5,121,38,8,2,2,2,2,0.5,1,?,?,?,?,?
771,'2022/04/20 17:57:47:287',5,172,40,9,2,2,2,2,0.5,1,?,?,?,?,?
772,'2022/04/20 17:57:47:443',5,237,49,9,1,2,2,2,0.5,1,?,?,?,?,?
773,'2022/04/20 17:57:47:601',5,256,76,9,1,2,2,2,0.5,1,?,?,?,?,?
774,'2022/04/20 17:57:47:757',5,285,71,9,1,2,2,2,0.5,1,?,?,?,?,?
775,'2022/04/20 17:57:47:914',5,227,76,9,1,2,2,2,0.5,1,?,?,?,?,?
776,'2022/04/20 17:57:48:070',5,171,57,9,2,2,2,2,0.5,1,?,?,?,?,?
777,'2022/04/20 17:57:48:226',5,124,24,9,1,2,2,2,0.5,1,?,?,?,?,?
778,'2022/04/20 17:57:48:382',5,115,23,9,2,2,2,2,0.5,1,?,?,?,?,?
779,'2022/04/20 17:57:48:537',5,109,31,8,2,2,1,2,0.5,1,?,?,?,?,?
780,'2022/04/20 17:57:48:693',5,115,33,8,1,2,2,2,0.5,1,?,?,?,?,?
781,'2022/04/20 17:57:48:848',5,115,35,9,2,2,2,2,0.5,1,?,?,?,?,?
782,'2022/04/20 17:57:49:005',5,110,29,9,2,2,2,2,0.5,1,?,?,?,?,?
783,'2022/04/20 17:57:49:159',5,102,23,8,2,2,2,1,0.5,1,?,?,?,?,?
784,'2022/04/20 17:57:49:316',5,96,22,9,2,2,2,2,0.5,1,?,?,?,?,?
785,'2022/04/20 17:57:49:472',5,95,22,9,2,2,2,2,0.5,1,?,?,?,?,?
786,'2022/04/20 17:57:49:628',5,97,32,9,1,2,2,2,0.5,1,?,?,?,?,?
787,'2022/04/20 17:57:49:784',5,97,43,8,1,2,2,2,0.5,1,?,?,?,?,?
788,'2022/04/20 17:57:49:939',5,104,46,8,1,2,2,2,0.5,1,?,?,?,?,?
789,'2022/04/20 17:57:50:095',5,110,38,9,1,2,2,2,0.5,1,?,?,?,?,?
