@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute helper-1 numeric
@attribute helper-2 numeric
@attribute helper-3 numeric
@attribute helper-4 numeric
@attribute helper-5 numeric
@attribute helper-6 numeric
@attribute helper-7 numeric
@attribute giveme-1 numeric
@attribute giveme-2 numeric
@attribute giveme-3 numeric
@attribute giveme-4 numeric
@attribute giveme-5 numeric
@attribute giveme-6 numeric
@attribute giveme-7 numeric
@attribute giveme-8 numeric
@attribute giveme-9 numeric
@attribute giveme-10 numeric

@data
242,'2020/02/21 11:12:27:764',5,50,44,33,2,4,1,1,?,?,?,?,0,?,?,?,?,?
243,'2020/02/21 11:12:27:891',5,53,44,33,2,3,2,1,?,?,?,?,0,?,?,?,?,?
244,'2020/02/21 11:12:28:017',5,57,44,33,2,3,1,1,?,?,?,?,0,?,?,?,?,?
245,'2020/02/21 11:12:28:144',5,58,44,31,2,4,1,1,?,?,?,?,0,?,?,?,?,?
246,'2020/02/21 11:12:28:270',5,63,44,29,2,4,1,1,?,?,?,?,0,?,?,?,?,?
247,'2020/02/21 11:12:28:396',5,67,44,28,3,4,1,1,?,?,?,?,0,?,?,?,?,?
248,'2020/02/21 11:12:28:522',5,72,44,26,3,4,1,1,?,?,?,?,0,?,?,?,?,?
249,'2020/02/21 11:12:28:649',5,72,44,26,2,4,1,1,?,?,?,?,0,?,?,?,?,?
250,'2020/02/21 11:12:28:775',5,73,45,26,2,4,2,1,?,?,?,?,0,?,?,?,?,?
251,'2020/02/21 11:12:28:901',5,70,45,27,3,4,1,1,?,?,?,?,0,?,?,?,?,?
252,'2020/02/21 11:12:29:027',5,63,45,27,2,4,1,1,?,?,?,?,0,?,?,?,?,?
253,'2020/02/21 11:12:29:154',5,60,44,28,2,4,1,1,?,?,?,?,0,?,?,?,?,?
254,'2020/02/21 11:12:29:281',5,58,44,29,2,4,1,1,?,?,?,?,0,?,?,?,?,?
255,'2020/02/21 11:12:29:407',5,61,44,28,2,4,1,1,?,?,?,?,0,?,?,?,?,?
256,'2020/02/21 11:12:29:533',5,58,44,31,3,4,2,1,?,?,?,?,0,?,?,?,?,?
257,'2020/02/21 11:12:29:660',5,56,44,34,3,4,1,1,?,?,?,?,0,?,?,?,?,?
258,'2020/02/21 11:12:29:786',5,55,44,35,3,4,2,1,?,?,?,?,0,?,?,?,?,?
259,'2020/02/21 11:12:29:911',5,56,43,35,3,4,2,1,?,?,?,?,0,?,?,?,?,?
260,'2020/02/21 11:12:30:038',5,58,43,35,3,4,2,1,?,?,?,?,0,?,?,?,?,?
261,'2020/02/21 11:12:30:165',5,58,43,33,2,4,2,1,?,?,?,?,0,?,?,?,?,?
262,'2020/02/21 11:12:30:292',5,57,43,28,2,4,2,1,?,?,?,?,0,?,?,?,?,?
263,'2020/02/21 11:12:30:418',5,56,43,27,3,4,2,1,?,?,?,?,0,?,?,?,?,?
264,'2020/02/21 11:12:30:545',5,52,44,28,3,4,2,2,?,?,?,?,0,?,?,?,?,?
265,'2020/02/21 11:12:30:671',5,51,44,27,3,3,2,1,?,?,?,?,0,?,?,?,?,?
266,'2020/02/21 11:12:30:797',5,56,44,27,3,3,2,2,?,?,?,?,0,?,?,?,?,?
267,'2020/02/21 11:12:30:922',5,68,44,28,3,3,1,2,?,?,?,?,0,?,?,?,?,?
268,'2020/02/21 11:12:31:049',5,69,44,27,3,4,1,1,?,?,?,?,0,?,?,?,?,?
269,'2020/02/21 11:12:31:176',5,71,43,25,3,4,1,1,?,?,?,?,0,?,?,?,?,?
270,'2020/02/21 11:12:31:304',5,67,44,25,2,4,1,1,?,?,?,?,0,?,?,?,?,?
271,'2020/02/21 11:12:31:429',5,59,44,25,2,4,1,1,?,?,?,?,0,?,?,?,?,?
272,'2020/02/21 11:12:31:555',5,51,44,25,2,4,1,1,?,?,?,?,0,?,?,?,?,?
273,'2020/02/21 11:12:31:682',5,49,44,25,2,4,1,1,?,?,?,?,0,?,?,?,?,?
274,'2020/02/21 11:12:31:808',5,49,44,26,2,4,1,2,?,?,?,?,0,?,?,?,?,?
275,'2020/02/21 11:12:31:935',5,48,44,26,2,4,1,2,?,?,?,?,0,?,?,?,?,?
276,'2020/02/21 11:12:32:062',5,51,44,26,2,4,1,2,?,?,?,?,0,?,?,?,?,?
277,'2020/02/21 11:12:32:188',5,58,44,25,2,4,2,2,?,?,?,?,0,?,?,?,?,?
278,'2020/02/21 11:12:32:315',5,61,43,26,2,4,2,2,?,?,?,?,0,?,?,?,?,?
279,'2020/02/21 11:12:32:441',5,62,43,26,3,4,1,1,?,?,?,?,0,?,?,?,?,?
280,'2020/02/21 11:12:32:567',5,61,43,24,3,4,1,1,?,?,?,?,0,?,?,?,?,?
281,'2020/02/21 11:12:32:694',5,58,44,25,3,4,1,1,?,?,?,?,0,?,?,?,?,?
282,'2020/02/21 11:12:32:821',5,56,44,24,3,4,1,1,?,?,?,?,0,?,?,?,?,?
283,'2020/02/21 11:12:32:946',5,57,44,25,2,4,1,1,?,?,?,?,0,?,?,?,?,?
284,'2020/02/21 11:12:33:073',5,60,44,27,2,4,1,1,?,?,?,?,0,?,?,?,?,?
285,'2020/02/21 11:12:33:199',5,63,44,27,2,4,2,1,?,?,?,?,0,?,?,?,?,?
286,'2020/02/21 11:12:33:325',5,65,44,29,2,4,2,2,?,?,?,?,0,?,?,?,?,?
287,'2020/02/21 11:12:33:452',5,62,44,28,2,4,2,1,?,?,?,?,0,?,?,?,?,?
288,'2020/02/21 11:12:33:578',5,58,44,27,2,4,2,2,?,?,?,?,0,?,?,?,?,?
289,'2020/02/21 11:12:33:704',5,55,44,26,2,4,1,1,?,?,?,?,0,?,?,?,?,?
290,'2020/02/21 11:12:33:830',5,77,44,27,2,4,1,2,?,?,?,?,0,?,?,?,?,?
291,'2020/02/21 11:12:33:956',5,79,44,27,2,4,1,2,?,?,?,?,0,?,?,?,?,?
292,'2020/02/21 11:12:34:082',5,77,44,26,2,4,1,2,?,?,?,?,0,?,?,?,?,?
293,'2020/02/21 11:12:34:208',5,82,44,26,2,4,2,2,?,?,?,?,0,?,?,?,?,?
294,'2020/02/21 11:12:34:334',5,72,44,26,2,4,2,2,?,?,?,?,0,?,?,?,?,?
295,'2020/02/21 11:12:34:461',5,58,44,24,3,4,2,2,?,?,?,?,0,?,?,?,?,?
296,'2020/02/21 11:12:34:588',5,56,44,24,2,4,2,2,?,?,?,?,0,?,?,?,?,?
297,'2020/02/21 11:12:34:714',5,58,44,27,3,4,1,2,?,?,?,?,0,?,?,?,?,?
298,'2020/02/21 11:12:34:841',5,62,44,27,3,4,1,2,?,?,?,?,0,?,?,?,?,?
299,'2020/02/21 11:12:34:967',5,67,44,28,2,4,1,2,?,?,?,?,0,?,?,?,?,?
300,'2020/02/21 11:12:35:094',5,76,43,30,2,4,1,2,?,?,?,?,0,?,?,?,?,?
301,'2020/02/21 11:12:35:220',5,81,44,27,2,4,1,2,?,?,?,?,0,?,?,?,?,?
302,'2020/02/21 11:12:35:347',5,84,43,27,2,4,1,2,?,?,?,?,0,?,?,?,?,?
303,'2020/02/21 11:12:35:474',5,84,43,27,3,4,1,2,?,?,?,?,0,?,?,?,?,?
304,'2020/02/21 11:12:35:600',5,84,44,26,2,4,1,2,?,?,?,?,0,?,?,?,?,?
305,'2020/02/21 11:12:35:725',5,90,45,26,2,4,1,1,?,?,?,?,0,?,?,?,?,?
306,'2020/02/21 11:12:35:851',5,94,44,26,2,4,1,1,?,?,?,?,0,?,?,?,?,?
307,'2020/02/21 11:12:35:977',5,95,44,26,2,4,1,2,?,?,?,?,0,?,?,?,?,?
308,'2020/02/21 11:12:36:102',5,93,44,25,3,4,1,1,?,?,?,?,0,?,?,?,?,?
309,'2020/02/21 11:12:36:229',5,85,44,25,3,4,1,1,?,?,?,?,0,?,?,?,?,?
310,'2020/02/21 11:12:36:355',5,77,44,26,3,4,1,2,?,?,?,?,0,?,?,?,?,?
311,'2020/02/21 11:12:36:482',5,82,44,28,2,4,1,2,?,?,?,?,0,?,?,?,?,?
312,'2020/02/21 11:12:36:609',5,105,46,31,3,4,1,2,?,?,?,?,0,?,?,?,?,?
313,'2020/02/21 11:12:36:735',5,106,52,35,3,4,1,2,?,?,?,?,0,?,?,?,?,?
314,'2020/02/21 11:12:36:862',5,111,61,38,2,4,1,2,?,?,?,?,0,?,?,?,?,?
315,'2020/02/21 11:12:36:988',5,119,69,42,3,4,1,2,?,?,?,?,0,?,?,?,?,?
316,'2020/02/21 11:12:37:113',5,96,95,45,3,4,1,2,?,?,?,?,0,?,?,?,?,?
317,'2020/02/21 11:12:37:240',5,153,152,50,3,4,1,1,?,?,?,?,0,?,?,?,?,?
318,'2020/02/21 11:12:37:366',5,390,210,50,3,4,1,1,?,?,?,?,0,?,?,?,?,?
319,'2020/02/21 11:12:37:492',5,545,241,55,2,3,1,1,?,?,?,?,0,?,?,?,?,?
320,'2020/02/21 11:12:37:619',5,591,241,58,2,4,1,1,?,?,?,?,0,?,?,?,?,?
321,'2020/02/21 11:12:37:745',5,658,246,56,3,4,1,1,?,?,?,?,0,?,?,?,?,?
322,'2020/02/21 11:12:37:871',5,552,196,55,2,4,1,1,?,?,?,?,0,?,?,?,?,?
323,'2020/02/21 11:12:37:997',5,432,171,52,2,4,1,2,?,?,?,?,0,?,?,?,?,?
324,'2020/02/21 11:12:38:124',5,430,167,47,3,4,1,2,?,?,?,?,0,?,?,?,?,?
325,'2020/02/21 11:12:38:251',5,419,162,50,3,4,1,2,?,?,?,?,0,?,?,?,?,?
326,'2020/02/21 11:12:38:377',5,347,143,51,3,3,1,2,?,?,?,?,0,?,?,?,?,?
327,'2020/02/21 11:12:38:503',5,294,127,54,3,3,1,2,?,?,?,?,0,?,?,?,?,?
328,'2020/02/21 11:12:38:629',5,259,116,58,3,3,1,2,?,?,?,?,0,?,?,?,?,?
329,'2020/02/21 11:12:38:755',5,177,91,61,3,3,1,1,?,?,?,?,0,?,?,?,?,?
330,'2020/02/21 11:12:38:882',5,142,89,62,2,4,2,1,?,?,?,?,0,?,?,?,?,?
331,'2020/02/21 11:12:39:008',5,154,79,59,2,4,2,1,?,?,?,?,0,?,?,?,?,?
332,'2020/02/21 11:12:39:135',5,162,73,59,2,4,1,1,?,?,?,?,0,?,?,?,?,?
333,'2020/02/21 11:12:39:261',5,155,78,60,2,4,2,1,?,?,?,?,0,?,?,?,?,?
334,'2020/02/21 11:12:39:387',5,166,81,60,2,4,2,1,?,?,?,?,0,?,?,?,?,?
335,'2020/02/21 11:12:39:512',5,162,83,61,3,4,2,1,?,?,?,?,0,?,?,?,?,?
336,'2020/02/21 11:12:39:638',5,151,88,64,2,4,2,1,?,?,?,?,0,?,?,?,?,?
337,'2020/02/21 11:12:39:765',5,132,94,73,2,4,2,2,?,?,?,?,0,?,?,?,?,?
338,'2020/02/21 11:12:39:892',5,119,117,85,3,4,2,1,?,?,?,?,0,?,?,?,?,?
339,'2020/02/21 11:12:40:018',5,100,240,95,2,4,2,2,?,?,?,?,0,?,?,?,?,?
340,'2020/02/21 11:12:40:144',5,94,310,105,2,4,2,2,?,?,?,?,0,?,?,?,?,?
341,'2020/02/21 11:12:40:271',5,81,457,111,2,4,2,2,?,?,?,?,0,?,?,?,?,?
342,'2020/02/21 11:12:40:396',5,80,525,113,2,4,2,1,?,?,?,?,0,?,?,?,?,?
343,'2020/02/21 11:12:40:523',5,81,542,111,2,4,2,1,?,?,?,?,0,?,?,?,?,?
344,'2020/02/21 11:12:40:649',5,88,451,117,2,4,2,1,?,?,?,?,0,?,?,?,?,?
345,'2020/02/21 11:12:40:776',5,94,375,120,3,4,2,1,?,?,?,?,0,?,?,?,?,?
346,'2020/02/21 11:12:40:902',5,95,353,122,3,4,2,1,?,?,?,?,0,?,?,?,?,?
347,'2020/02/21 11:12:41:028',5,94,358,123,2,4,2,1,?,?,?,?,0,?,?,?,?,?
348,'2020/02/21 11:12:41:153',5,94,333,120,2,4,2,1,?,?,?,?,0,?,?,?,?,?
349,'2020/02/21 11:12:41:279',5,88,329,113,2,4,2,2,?,?,?,?,0,?,?,?,?,?
350,'2020/02/21 11:12:41:405',5,79,349,117,3,4,2,1,?,?,?,?,0,?,?,?,?,?
351,'2020/02/21 11:12:41:531',5,74,360,142,2,4,2,1,?,?,?,?,0,?,?,?,?,?
352,'2020/02/21 11:12:41:657',5,69,325,154,3,4,2,2,?,?,?,?,0,?,?,?,?,?
353,'2020/02/21 11:12:41:783',5,70,307,155,2,4,1,2,?,?,?,?,0,?,?,?,?,?
354,'2020/02/21 11:12:41:909',5,72,331,161,2,4,2,2,?,?,?,?,0,?,?,?,?,?
355,'2020/02/21 11:12:42:035',5,68,329,149,2,4,2,2,?,?,?,?,0,?,?,?,?,?
356,'2020/02/21 11:12:42:162',5,64,338,136,2,4,2,2,?,?,?,?,0,?,?,?,?,?
357,'2020/02/21 11:12:42:289',5,56,357,136,2,4,2,2,?,?,?,?,0,?,?,?,?,?
358,'2020/02/21 11:12:42:415',5,50,378,137,2,4,2,2,?,?,?,?,0,?,?,?,?,?
359,'2020/02/21 11:12:42:541',5,48,373,146,2,4,2,2,?,?,?,?,0,?,?,?,?,?
360,'2020/02/21 11:12:42:667',5,47,379,157,2,4,2,2,?,?,?,?,0,?,?,?,?,?
361,'2020/02/21 11:12:42:793',5,50,411,154,2,4,1,2,?,?,?,?,0,?,?,?,?,?
362,'2020/02/21 11:12:42:920',5,55,413,160,2,4,2,2,?,?,?,?,0,?,?,?,?,?
363,'2020/02/21 11:12:43:046',5,58,387,149,2,4,2,2,?,?,?,?,0,?,?,?,?,?
364,'2020/02/21 11:12:43:173',5,60,390,141,2,4,2,1,?,?,?,?,0,?,?,?,?,?
365,'2020/02/21 11:12:43:300',5,60,343,149,3,4,1,2,?,?,?,?,0,?,?,?,?,?
366,'2020/02/21 11:12:43:426',5,60,348,143,3,4,2,2,?,?,?,?,0,?,?,?,?,?
367,'2020/02/21 11:12:43:553',5,57,348,140,3,3,1,2,?,?,?,?,0,?,?,?,?,?
368,'2020/02/21 11:12:43:679',5,54,344,135,3,3,2,2,?,?,?,?,0,?,?,?,?,?
369,'2020/02/21 11:12:43:806',5,53,379,144,3,4,2,2,?,?,?,?,0,?,?,?,?,?
370,'2020/02/21 11:12:43:933',5,55,377,155,2,4,2,2,?,?,?,?,0,?,?,?,?,?
371,'2020/02/21 11:12:44:059',5,54,399,175,2,4,2,2,?,?,?,?,0,?,?,?,?,?
372,'2020/02/21 11:12:44:186',5,54,388,172,2,4,1,2,?,?,?,?,0,?,?,?,?,?
373,'2020/02/21 11:12:44:312',5,56,375,174,2,4,1,2,?,?,?,?,0,?,?,?,?,?
374,'2020/02/21 11:12:44:437',5,54,382,159,2,4,1,2,?,?,?,?,0,?,?,?,?,?
375,'2020/02/21 11:12:44:564',5,54,362,144,2,4,1,2,?,?,?,?,0,?,?,?,?,?
376,'2020/02/21 11:12:44:690',5,54,379,136,2,4,1,2,?,?,?,?,0,?,?,?,?,?
377,'2020/02/21 11:12:44:817',5,54,391,132,2,4,1,2,?,?,?,?,0,?,?,?,?,?
378,'2020/02/21 11:12:44:943',5,54,373,140,2,4,2,2,?,?,?,?,0,?,?,?,?,?
379,'2020/02/21 11:12:45:069',5,52,367,135,2,4,2,2,?,?,?,?,0,?,?,?,?,?
380,'2020/02/21 11:12:45:195',5,51,352,146,2,4,2,1,?,?,?,?,0,?,?,?,?,?
381,'2020/02/21 11:12:45:321',5,50,377,147,2,4,2,1,?,?,?,?,0,?,?,?,?,?
382,'2020/02/21 11:12:45:448',5,48,472,157,2,4,2,1,?,?,?,?,0,?,?,?,?,?
383,'2020/02/21 11:12:45:574',5,50,530,162,3,3,2,1,?,?,?,?,0,?,?,?,?,?
384,'2020/02/21 11:12:45:701',5,50,548,157,3,4,2,1,?,?,?,?,0,?,?,?,?,?
385,'2020/02/21 11:12:45:828',5,53,575,157,2,4,1,1,?,?,?,?,0,?,?,?,?,?
386,'2020/02/21 11:12:45:955',5,51,497,147,2,4,1,1,?,?,?,?,0,?,?,?,?,?
387,'2020/02/21 11:12:46:082',5,51,457,138,3,4,2,1,?,?,?,?,0,?,?,?,?,?
388,'2020/02/21 11:12:46:208',5,52,453,139,2,4,2,1,?,?,?,?,0,?,?,?,?,?
389,'2020/02/21 11:12:46:334',5,56,430,132,2,4,1,1,?,?,?,?,0,?,?,?,?,?
390,'2020/02/21 11:12:46:460',5,56,540,130,2,4,1,1,?,?,?,?,0,?,?,?,?,?
391,'2020/02/21 11:12:46:587',5,66,573,128,2,4,1,1,?,?,?,?,0,?,?,?,?,?
392,'2020/02/21 11:12:46:713',5,79,576,127,2,4,1,1,?,?,?,?,0,?,?,?,?,?
393,'2020/02/21 11:12:46:839',5,83,553,122,2,4,1,1,?,?,?,?,0,?,?,?,?,?
394,'2020/02/21 11:12:46:966',5,88,492,123,2,3,2,1,?,?,?,?,0,?,?,?,?,?
395,'2020/02/21 11:12:47:093',5,87,549,123,2,3,2,1,?,?,?,?,0,?,?,?,?,?
396,'2020/02/21 11:12:47:220',5,76,527,129,2,4,2,1,?,?,?,?,0,?,?,?,?,?
397,'2020/02/21 11:12:47:346',5,88,651,128,2,4,2,2,?,?,?,?,0,?,?,?,?,?
398,'2020/02/21 11:12:47:472',5,102,730,134,2,4,1,2,?,?,?,?,0,?,?,?,?,?
399,'2020/02/21 11:12:47:599',5,103,655,132,2,4,1,2,?,?,?,?,0,?,?,?,?,?
400,'2020/02/21 11:12:47:726',5,119,611,120,2,4,1,1,?,?,?,?,0,?,?,?,?,?
401,'2020/02/21 11:12:47:853',5,126,503,122,3,4,1,1,?,?,?,?,0,?,?,?,?,?
402,'2020/02/21 11:12:47:979',5,115,399,111,2,4,1,1,?,?,?,?,0,?,?,?,?,?
403,'2020/02/21 11:12:48:107',5,111,328,102,2,4,2,1,?,?,?,?,0,?,?,?,?,?
404,'2020/02/21 11:12:48:232',5,101,282,86,2,4,1,1,?,?,?,?,0,?,?,?,?,?
405,'2020/02/21 11:12:48:359',5,94,224,77,2,4,2,1,?,?,?,?,0,?,?,?,?,?
406,'2020/02/21 11:12:48:485',5,118,207,69,3,4,1,1,?,?,?,?,0,?,?,?,?,?
407,'2020/02/21 11:12:48:611',5,139,179,68,3,4,1,1,?,?,?,?,0,?,?,?,?,?
408,'2020/02/21 11:12:48:737',5,136,149,73,2,4,1,1,?,?,?,?,0,?,?,?,?,?
409,'2020/02/21 11:12:48:864',5,160,126,76,2,4,1,1,?,?,?,?,0,?,?,?,?,?
410,'2020/02/21 11:12:48:991',5,171,137,73,2,4,1,1,?,?,?,?,0,?,?,?,?,?
411,'2020/02/21 11:12:49:117',5,196,117,70,2,4,1,1,?,?,?,?,0,?,?,?,?,?
412,'2020/02/21 11:12:49:243',5,208,105,64,2,4,1,1,?,?,?,?,0,?,?,?,?,?
413,'2020/02/21 11:12:49:369',5,198,110,57,2,4,2,1,?,?,?,?,0,?,?,?,?,?
414,'2020/02/21 11:12:49:495',5,189,98,49,2,4,2,1,?,?,?,?,0,?,?,?,?,?
415,'2020/02/21 11:12:49:622',5,188,86,42,3,4,2,2,?,?,?,?,0,?,?,?,?,?
416,'2020/02/21 11:12:49:749',5,179,83,34,3,4,2,1,?,?,?,?,0,?,?,?,?,?
417,'2020/02/21 11:12:49:874',5,165,75,29,3,4,2,1,?,?,?,?,0,?,?,?,?,?
418,'2020/02/21 11:12:50:001',5,160,62,28,2,4,2,1,?,?,?,?,0,?,?,?,?,?
419,'2020/02/21 11:12:50:127',5,107,48,26,2,4,2,1,?,?,?,?,0,?,?,?,?,?
420,'2020/02/21 11:12:50:252',5,77,45,28,2,4,1,1,?,?,?,?,0,?,?,?,?,?
421,'2020/02/21 11:12:50:379',5,60,45,28,3,4,1,1,?,?,?,?,0,?,?,?,?,?
422,'2020/02/21 11:12:50:505',5,54,45,27,2,4,1,2,?,?,?,?,0,?,?,?,?,?
423,'2020/02/21 11:12:50:632',5,55,44,26,2,4,1,2,?,?,?,?,0,?,?,?,?,?
424,'2020/02/21 11:12:50:758',5,63,45,26,2,4,2,1,?,?,?,?,0,?,?,?,?,?
425,'2020/02/21 11:12:50:883',5,71,44,25,2,4,1,2,?,?,?,?,0,?,?,?,?,?
426,'2020/02/21 11:12:51:010',5,74,45,25,2,4,2,1,?,?,?,?,0,?,?,?,?,?
427,'2020/02/21 11:12:51:137',5,80,45,28,3,4,2,1,?,?,?,?,0,?,?,?,?,?
428,'2020/02/21 11:12:51:264',5,91,46,29,3,4,2,2,?,?,?,?,0,?,?,?,?,?
429,'2020/02/21 11:12:51:390',5,92,48,30,3,4,2,1,?,?,?,?,0,?,?,?,?,?
430,'2020/02/21 11:12:51:516',5,105,51,32,3,4,2,2,?,?,?,?,0,?,?,?,?,?
431,'2020/02/21 11:12:51:643',5,116,51,29,3,3,2,1,?,?,?,?,0,?,?,?,?,?
432,'2020/02/21 11:12:51:770',5,127,50,29,3,3,2,1,?,?,?,?,0,?,?,?,?,?
433,'2020/02/21 11:12:51:895',5,150,48,31,2,4,2,1,?,?,?,?,0,?,?,?,?,?
434,'2020/02/21 11:12:52:022',5,160,52,31,3,4,2,1,?,?,?,?,0,?,?,?,?,?
435,'2020/02/21 11:13:40:404',6,58,834,244,2,4,2,2,?,?,?,?,1,?,?,?,?,?
436,'2020/02/21 11:13:40:530',6,58,643,188,2,4,2,2,?,?,?,?,1,?,?,?,?,?
437,'2020/02/21 11:13:40:656',6,57,589,171,2,4,2,2,?,?,?,?,1,?,?,?,?,?
438,'2020/02/21 11:13:40:783',6,57,485,173,2,4,2,1,?,?,?,?,1,?,?,?,?,?
439,'2020/02/21 11:13:40:909',6,56,398,203,2,4,1,2,?,?,?,?,1,?,?,?,?,?
440,'2020/02/21 11:13:41:036',6,56,384,232,2,4,1,2,?,?,?,?,1,?,?,?,?,?
441,'2020/02/21 11:13:41:161',6,56,360,265,2,4,1,2,?,?,?,?,1,?,?,?,?,?
442,'2020/02/21 11:13:41:288',6,56,373,285,2,3,2,2,?,?,?,?,1,?,?,?,?,?
443,'2020/02/21 11:13:41:414',6,67,372,308,2,3,1,2,?,?,?,?,1,?,?,?,?,?
444,'2020/02/21 11:13:41:542',6,109,342,338,2,4,2,2,?,?,?,?,1,?,?,?,?,?
445,'2020/02/21 11:13:41:668',6,229,340,361,2,4,2,2,?,?,?,?,1,?,?,?,?,?
446,'2020/02/21 11:13:41:794',6,351,334,374,2,4,1,1,?,?,?,?,1,?,?,?,?,?
447,'2020/02/21 11:13:41:921',6,563,353,367,2,4,2,2,?,?,?,?,1,?,?,?,?,?
448,'2020/02/21 11:13:42:047',6,670,375,351,2,4,1,2,?,?,?,?,1,?,?,?,?,?
449,'2020/02/21 11:13:42:172',6,765,421,308,2,4,1,1,?,?,?,?,1,?,?,?,?,?
450,'2020/02/21 11:13:42:299',6,855,572,287,2,4,1,1,?,?,?,?,1,?,?,?,?,?
451,'2020/02/21 11:13:42:424',6,905,696,294,2,4,1,1,?,?,?,?,1,?,?,?,?,?
452,'2020/02/21 11:13:42:551',6,1010,900,385,2,4,1,1,?,?,?,?,1,?,?,?,?,?
453,'2020/02/21 11:13:42:678',6,1055,1027,472,2,4,1,2,?,?,?,?,1,?,?,?,?,?
454,'2020/02/21 11:13:42:805',6,962,1125,563,2,4,1,1,?,?,?,?,1,?,?,?,?,?
455,'2020/02/21 11:13:42:931',6,746,1125,675,2,4,1,1,?,?,?,?,1,?,?,?,?,?
456,'2020/02/21 11:13:43:058',6,586,1125,698,2,4,1,1,?,?,?,?,1,?,?,?,?,?
457,'2020/02/21 11:13:43:185',6,363,1125,627,2,4,1,1,?,?,?,?,1,?,?,?,?,?
458,'2020/02/21 11:13:43:312',6,305,1125,576,2,4,1,2,?,?,?,?,1,?,?,?,?,?
459,'2020/02/21 11:13:43:438',6,299,1125,509,2,4,2,2,?,?,?,?,1,?,?,?,?,?
460,'2020/02/21 11:13:43:565',6,341,1077,429,2,4,2,2,?,?,?,?,1,?,?,?,?,?
461,'2020/02/21 11:13:43:692',6,395,1055,410,2,4,1,2,?,?,?,?,1,?,?,?,?,?
462,'2020/02/21 11:13:43:818',6,465,1070,372,2,4,1,1,?,?,?,?,1,?,?,?,?,?
463,'2020/02/21 11:13:43:944',6,478,1070,351,2,4,1,2,?,?,?,?,1,?,?,?,?,?
464,'2020/02/21 11:13:44:071',6,449,1085,353,2,4,1,1,?,?,?,?,1,?,?,?,?,?
465,'2020/02/21 11:13:44:197',6,482,1125,353,2,4,2,2,?,?,?,?,1,?,?,?,?,?
466,'2020/02/21 11:13:44:322',6,556,1125,366,2,4,1,2,?,?,?,?,1,?,?,?,?,?
467,'2020/02/21 11:13:44:449',6,625,1125,398,2,4,2,2,?,?,?,?,1,?,?,?,?,?
468,'2020/02/21 11:13:44:575',6,734,1063,414,2,4,1,2,?,?,?,?,1,?,?,?,?,?
469,'2020/02/21 11:13:44:701',6,843,968,400,2,4,2,2,?,?,?,?,1,?,?,?,?,?
470,'2020/02/21 11:13:44:828',6,862,891,436,2,4,2,2,?,?,?,?,1,?,?,?,?,?
471,'2020/02/21 11:13:44:954',6,815,844,556,2,4,2,2,?,?,?,?,1,?,?,?,?,?
472,'2020/02/21 11:13:45:082',6,823,882,622,2,4,2,2,?,?,?,?,1,?,?,?,?,?
473,'2020/02/21 11:13:45:208',6,795,915,620,2,4,1,2,?,?,?,?,1,?,?,?,?,?
474,'2020/02/21 11:13:45:336',6,702,1003,666,2,4,2,2,?,?,?,?,1,?,?,?,?,?
475,'2020/02/21 11:13:45:462',6,696,916,693,2,4,2,2,?,?,?,?,1,?,?,?,?,?
476,'2020/02/21 11:13:45:588',6,681,927,753,2,4,2,2,?,?,?,?,1,?,?,?,?,?
477,'2020/02/21 11:13:45:714',6,631,886,910,2,4,2,2,?,?,?,?,1,?,?,?,?,?
478,'2020/02/21 11:13:45:841',6,606,797,1015,2,4,1,2,?,?,?,?,1,?,?,?,?,?
479,'2020/02/21 11:13:45:967',6,692,873,1086,2,4,1,1,?,?,?,?,1,?,?,?,?,?
480,'2020/02/21 11:13:46:094',6,740,926,1119,2,4,2,1,?,?,?,?,1,?,?,?,?,?
481,'2020/02/21 11:13:46:220',6,869,913,1125,2,4,2,1,?,?,?,?,1,?,?,?,?,?
482,'2020/02/21 11:13:46:347',6,885,880,1113,2,4,2,1,?,?,?,?,1,?,?,?,?,?
483,'2020/02/21 11:13:46:474',6,856,934,1036,2,4,2,1,?,?,?,?,1,?,?,?,?,?
484,'2020/02/21 11:13:46:601',6,786,933,962,2,4,2,1,?,?,?,?,1,?,?,?,?,?
485,'2020/02/21 11:13:46:728',6,650,930,808,2,4,2,1,?,?,?,?,1,?,?,?,?,?
486,'2020/02/21 11:13:46:854',6,627,1020,673,2,4,2,2,?,?,?,?,1,?,?,?,?,?
487,'2020/02/21 11:13:46:981',6,697,1022,573,2,4,1,2,?,?,?,?,1,?,?,?,?,?
488,'2020/02/21 11:13:47:107',6,770,1028,478,2,4,2,2,?,?,?,?,1,?,?,?,?,?
489,'2020/02/21 11:13:47:233',6,806,1067,450,2,4,1,1,?,?,?,?,1,?,?,?,?,?
490,'2020/02/21 11:13:47:359',6,988,1049,435,2,4,1,1,?,?,?,?,1,?,?,?,?,?
491,'2020/02/21 11:13:47:486',6,1027,1081,453,2,4,1,1,?,?,?,?,1,?,?,?,?,?
492,'2020/02/21 11:13:47:611',6,1064,1084,445,2,4,2,1,?,?,?,?,1,?,?,?,?,?
493,'2020/02/21 11:13:47:737',6,1090,1101,410,2,5,2,1,?,?,?,?,1,?,?,?,?,?
494,'2020/02/21 11:13:47:863',6,1125,1114,398,2,4,1,2,?,?,?,?,1,?,?,?,?,?
