@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute helper-1 numeric
@attribute helper-2 numeric
@attribute helper-3 numeric
@attribute helper-4 numeric
@attribute helper-5 numeric
@attribute helper-6 numeric
@attribute helper-7 numeric
@attribute giveme-1 numeric
@attribute giveme-2 numeric
@attribute giveme-3 numeric
@attribute giveme-4 numeric
@attribute giveme-5 numeric
@attribute giveme-6 numeric
@attribute giveme-7 numeric
@attribute giveme-8 numeric
@attribute giveme-9 numeric
@attribute giveme-10 numeric

@data
54,'2020/02/21 11:00:11:104',1,86,44,25,2,3,1,1,?,?,?,?,?,?,?,?,?,?
55,'2020/02/21 11:00:11:230',1,91,44,25,2,3,2,1,?,?,?,?,?,?,?,?,?,?
56,'2020/02/21 11:00:11:356',1,91,44,25,2,3,1,1,?,?,?,?,?,?,?,?,?,?
57,'2020/02/21 11:00:11:482',1,86,44,23,2,3,2,2,?,?,?,?,?,?,?,?,?,?
58,'2020/02/21 11:00:11:609',1,79,44,23,2,3,2,2,?,?,?,?,?,?,?,?,?,?
59,'2020/02/21 11:00:11:735',1,61,44,28,2,3,2,2,?,?,?,?,?,?,?,?,?,?
60,'2020/02/21 11:00:11:862',1,59,44,28,2,3,2,2,?,?,?,?,?,?,?,?,?,?
61,'2020/02/21 11:00:11:988',1,71,44,28,2,3,2,2,?,?,?,?,?,?,?,?,?,?
62,'2020/02/21 11:00:12:115',1,139,62,31,2,3,2,2,?,?,?,?,?,?,?,?,?,?
63,'2020/02/21 11:00:12:240',1,186,118,30,2,3,2,2,?,?,?,?,?,?,?,?,?,?
64,'2020/02/21 11:00:12:367',1,436,341,28,2,3,2,1,?,?,?,?,?,?,?,?,?,?
65,'2020/02/21 11:00:12:493',1,605,555,30,2,3,2,1,?,?,?,?,?,?,?,?,?,?
66,'2020/02/21 11:00:12:619',1,684,740,32,2,3,2,1,?,?,?,?,?,?,?,?,?,?
67,'2020/02/21 11:00:12:745',1,732,758,31,2,3,2,2,?,?,?,?,?,?,?,?,?,?
68,'2020/02/21 11:00:12:871',1,735,767,33,2,3,2,1,?,?,?,?,?,?,?,?,?,?
69,'2020/02/21 11:00:12:997',1,538,724,46,2,3,2,2,?,?,?,?,?,?,?,?,?,?
70,'2020/02/21 11:00:13:124',1,462,583,60,2,3,1,2,?,?,?,?,?,?,?,?,?,?
71,'2020/02/21 11:00:13:249',1,370,518,79,3,3,1,2,?,?,?,?,?,?,?,?,?,?
72,'2020/02/21 11:00:13:374',1,362,450,98,3,3,1,2,?,?,?,?,?,?,?,?,?,?
73,'2020/02/21 11:00:13:500',1,434,315,110,3,3,1,2,?,?,?,?,?,?,?,?,?,?
74,'2020/02/21 11:00:13:626',1,351,210,105,3,3,1,2,?,?,?,?,?,?,?,?,?,?
75,'2020/02/21 11:00:13:753',1,375,167,91,3,3,2,2,?,?,?,?,?,?,?,?,?,?
76,'2020/02/21 11:00:13:880',1,482,163,74,2,2,2,1,?,?,?,?,?,?,?,?,?,?
77,'2020/02/21 11:00:28:154',2,62,95,25,914,3,1,2,?,?,?,?,?,?,?,?,?,?
78,'2020/02/21 11:00:28:281',2,67,93,26,915,3,1,2,?,?,?,?,?,?,?,?,?,?
79,'2020/02/21 11:00:28:406',2,69,96,27,915,3,1,2,?,?,?,?,?,?,?,?,?,?
80,'2020/02/21 11:00:28:533',2,73,104,31,914,3,1,2,?,?,?,?,?,?,?,?,?,?
81,'2020/02/21 11:00:28:660',2,76,106,32,914,3,1,2,?,?,?,?,?,?,?,?,?,?
82,'2020/02/21 11:00:28:786',2,73,105,31,914,3,2,2,?,?,?,?,?,?,?,?,?,?
83,'2020/02/21 11:00:28:913',2,71,108,30,914,3,2,2,?,?,?,?,?,?,?,?,?,?
84,'2020/02/21 11:00:29:039',2,74,101,27,914,3,2,2,?,?,?,?,?,?,?,?,?,?
85,'2020/02/21 11:00:29:165',2,81,94,25,914,3,2,1,?,?,?,?,?,?,?,?,?,?
86,'2020/02/21 11:00:29:291',2,79,93,26,914,3,2,1,?,?,?,?,?,?,?,?,?,?
87,'2020/02/21 11:00:29:418',2,75,90,26,913,3,1,2,?,?,?,?,?,?,?,?,?,?
88,'2020/02/21 11:00:29:544',2,79,97,25,913,3,1,1,?,?,?,?,?,?,?,?,?,?
89,'2020/02/21 11:00:29:671',2,81,103,26,912,3,1,1,?,?,?,?,?,?,?,?,?,?
90,'2020/02/21 11:00:29:798',2,75,105,24,912,3,1,2,?,?,?,?,?,?,?,?,?,?
91,'2020/02/21 11:00:29:923',2,74,107,24,912,3,1,2,?,?,?,?,?,?,?,?,?,?
92,'2020/02/21 11:00:30:048',2,71,109,26,912,3,1,1,?,?,?,?,?,?,?,?,?,?
93,'2020/02/21 11:00:30:175',2,62,100,26,913,3,1,1,?,?,?,?,?,?,?,?,?,?
94,'2020/02/21 11:00:30:301',2,61,108,27,913,3,1,1,?,?,?,?,?,?,?,?,?,?
95,'2020/02/21 11:00:30:428',2,65,99,27,912,4,1,1,?,?,?,?,?,?,?,?,?,?
96,'2020/02/21 11:00:30:553',2,78,101,26,912,3,1,1,?,?,?,?,?,?,?,?,?,?
97,'2020/02/21 11:00:30:680',2,81,99,29,912,3,2,1,?,?,?,?,?,?,?,?,?,?
98,'2020/02/21 11:00:30:807',2,81,89,31,912,3,1,1,?,?,?,?,?,?,?,?,?,?
99,'2020/02/21 11:00:30:933',2,83,87,31,911,3,2,2,?,?,?,?,?,?,?,?,?,?
100,'2020/02/21 11:00:31:059',2,80,88,31,911,3,2,2,?,?,?,?,?,?,?,?,?,?
101,'2020/02/21 11:00:31:185',2,75,88,28,911,3,1,2,?,?,?,?,?,?,?,?,?,?
102,'2020/02/21 11:00:31:311',2,74,89,28,911,3,1,2,?,?,?,?,?,?,?,?,?,?
103,'2020/02/21 11:00:31:438',2,68,94,37,911,3,1,2,?,?,?,?,?,?,?,?,?,?
104,'2020/02/21 11:00:31:564',2,66,93,40,911,3,1,2,?,?,?,?,?,?,?,?,?,?
105,'2020/02/21 11:00:31:690',2,60,98,42,911,3,1,2,?,?,?,?,?,?,?,?,?,?
106,'2020/02/21 11:00:31:816',2,56,101,40,911,3,1,2,?,?,?,?,?,?,?,?,?,?
107,'2020/02/21 11:00:31:942',2,57,101,35,911,3,1,1,?,?,?,?,?,?,?,?,?,?
108,'2020/02/21 11:00:32:069',2,57,102,29,911,3,1,1,?,?,?,?,?,?,?,?,?,?
109,'2020/02/21 11:00:32:194',2,69,90,26,910,3,2,1,?,?,?,?,?,?,?,?,?,?
110,'2020/02/21 11:00:32:321',2,73,86,29,910,3,2,2,?,?,?,?,?,?,?,?,?,?
111,'2020/02/21 11:00:32:448',2,77,85,33,909,3,1,2,?,?,?,?,?,?,?,?,?,?
112,'2020/02/21 11:00:32:574',2,78,80,35,909,3,1,2,?,?,?,?,?,?,?,?,?,?
113,'2020/02/21 11:00:32:701',2,73,77,36,908,3,1,2,?,?,?,?,?,?,?,?,?,?
114,'2020/02/21 11:00:32:827',2,77,77,33,908,3,1,1,?,?,?,?,?,?,?,?,?,?
115,'2020/02/21 11:00:32:954',2,88,76,30,908,3,1,1,?,?,?,?,?,?,?,?,?,?
116,'2020/02/21 11:00:33:080',2,86,81,26,909,3,1,1,?,?,?,?,?,?,?,?,?,?
117,'2020/02/21 11:00:33:207',2,83,82,25,909,3,1,1,?,?,?,?,?,?,?,?,?,?
118,'2020/02/21 11:00:33:334',2,83,83,24,909,3,1,1,?,?,?,?,?,?,?,?,?,?
119,'2020/02/21 11:00:33:460',2,73,84,24,909,3,2,1,?,?,?,?,?,?,?,?,?,?
120,'2020/02/21 11:00:33:585',2,66,80,25,909,3,2,1,?,?,?,?,?,?,?,?,?,?
121,'2020/02/21 11:00:33:711',2,63,77,26,909,3,2,1,?,?,?,?,?,?,?,?,?,?
122,'2020/02/21 11:00:33:838',2,58,78,25,909,3,2,1,?,?,?,?,?,?,?,?,?,?
123,'2020/02/21 11:00:33:964',2,53,77,27,909,3,2,1,?,?,?,?,?,?,?,?,?,?
124,'2020/02/21 11:00:34:091',2,49,76,27,909,4,1,2,?,?,?,?,?,?,?,?,?,?
125,'2020/02/21 11:00:34:217',2,48,77,27,908,3,2,1,?,?,?,?,?,?,?,?,?,?
126,'2020/02/21 11:00:34:344',2,50,77,28,908,3,2,1,?,?,?,?,?,?,?,?,?,?
127,'2020/02/21 11:00:34:469',2,59,73,30,907,3,1,1,?,?,?,?,?,?,?,?,?,?
128,'2020/02/21 11:00:34:596',2,60,73,32,907,3,1,2,?,?,?,?,?,?,?,?,?,?
129,'2020/02/21 11:00:34:722',2,66,76,36,906,3,1,2,?,?,?,?,?,?,?,?,?,?
130,'2020/02/21 11:00:34:849',2,69,74,39,906,3,1,2,?,?,?,?,?,?,?,?,?,?
131,'2020/02/21 11:00:34:975',2,65,76,45,906,3,1,2,?,?,?,?,?,?,?,?,?,?
132,'2020/02/21 11:00:35:101',2,61,75,49,905,4,1,2,?,?,?,?,?,?,?,?,?,?
133,'2020/02/21 11:00:35:227',2,63,75,50,905,3,1,2,?,?,?,?,?,?,?,?,?,?
134,'2020/02/21 11:00:35:353',2,68,72,51,904,4,1,2,?,?,?,?,?,?,?,?,?,?
135,'2020/02/21 11:00:35:479',2,72,72,49,904,4,1,1,?,?,?,?,?,?,?,?,?,?
136,'2020/02/21 11:02:41:565',3,1125,1125,192,2,3,1,1,?,?,?,?,?,0,?,?,?,?
137,'2020/02/21 11:02:41:691',3,1103,1125,197,2,3,2,1,?,?,?,?,?,0,?,?,?,?
138,'2020/02/21 11:02:41:816',3,1040,1125,204,2,2,2,1,?,?,?,?,?,0,?,?,?,?
139,'2020/02/21 11:02:41:943',3,1040,1125,218,2,2,2,1,?,?,?,?,?,0,?,?,?,?
140,'2020/02/21 11:02:42:069',3,1040,1125,222,2,2,2,2,?,?,?,?,?,0,?,?,?,?
141,'2020/02/21 11:02:42:196',3,1050,1125,217,2,2,2,2,?,?,?,?,?,0,?,?,?,?
142,'2020/02/21 11:02:42:321',3,1125,1125,195,2,2,2,2,?,?,?,?,?,0,?,?,?,?
143,'2020/02/21 11:02:42:447',3,1091,1125,168,3,2,1,2,?,?,?,?,?,0,?,?,?,?
144,'2020/02/21 11:02:42:573',3,962,1125,157,2,2,2,2,?,?,?,?,?,0,?,?,?,?
145,'2020/02/21 11:02:42:699',3,885,1125,142,2,2,2,2,?,?,?,?,?,0,?,?,?,?
146,'2020/02/21 11:02:42:824',3,685,1125,149,2,2,2,2,?,?,?,?,?,0,?,?,?,?
147,'2020/02/21 11:02:42:950',3,529,1125,162,2,3,2,1,?,?,?,?,?,0,?,?,?,?
148,'2020/02/21 11:02:43:076',3,401,1125,150,2,3,1,1,?,?,?,?,?,0,?,?,?,?
149,'2020/02/21 11:02:43:203',3,298,1125,143,2,3,1,1,?,?,?,?,?,0,?,?,?,?
150,'2020/02/21 11:02:43:329',3,244,1125,129,2,3,1,1,?,?,?,?,?,0,?,?,?,?
151,'2020/02/21 11:02:43:456',3,396,1125,105,2,3,1,2,?,?,?,?,?,0,?,?,?,?
152,'2020/02/21 11:02:43:582',3,569,1125,109,2,3,1,1,?,?,?,?,?,0,?,?,?,?
153,'2020/02/21 11:02:43:709',3,675,1125,131,2,3,1,1,?,?,?,?,?,0,?,?,?,?
154,'2020/02/21 11:02:43:836',3,799,1125,146,2,2,1,1,?,?,?,?,?,0,?,?,?,?
155,'2020/02/21 11:02:43:962',3,792,1125,178,2,3,1,1,?,?,?,?,?,0,?,?,?,?
156,'2020/02/21 11:02:44:089',3,718,1125,203,2,2,1,1,?,?,?,?,?,0,?,?,?,?
157,'2020/02/21 11:02:44:215',3,723,1125,218,2,2,1,1,?,?,?,?,?,0,?,?,?,?
158,'2020/02/21 11:02:44:342',3,787,1125,230,2,2,1,1,?,?,?,?,?,0,?,?,?,?
159,'2020/02/21 11:02:44:468',3,769,1125,245,2,2,1,1,?,?,?,?,?,0,?,?,?,?
