@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric

@data
404,'2020/12/18 20:30:31:000',12,237,262,45,683,1,2,2,?,?,?,?,?,127,?
405,'2020/12/18 20:30:31:201',12,258,241,41,682,1,2,2,?,?,?,?,?,127,?
406,'2020/12/18 20:30:31:403',12,188,146,36,679,2,1,2,?,?,?,?,?,127,?
407,'2020/12/18 20:30:31:603',12,155,68,34,675,2,2,2,?,?,?,?,?,127,?
408,'2020/12/18 20:30:31:804',12,140,46,35,673,2,2,2,?,?,?,?,?,127,?
409,'2020/12/18 20:30:32:006',12,193,37,36,678,2,2,2,?,?,?,?,?,127,?
410,'2020/12/18 20:30:32:208',12,149,36,35,681,2,2,2,?,?,?,?,?,127,?
411,'2020/12/18 20:30:32:411',12,131,36,35,681,2,2,2,?,?,?,?,?,127,?
412,'2020/12/18 20:30:32:612',12,209,37,35,676,1,2,2,?,?,?,?,?,127,?
413,'2020/12/18 20:30:32:813',12,212,36,35,678,1,2,2,?,?,?,?,?,127,?
414,'2020/12/18 20:30:33:014',12,149,36,35,680,1,2,2,?,?,?,?,?,127,?
415,'2020/12/18 20:30:33:215',12,121,36,36,677,2,2,2,?,?,?,?,?,127,?
416,'2020/12/18 20:30:33:417',12,196,38,35,673,2,2,2,?,?,?,?,?,127,?
417,'2020/12/18 20:30:33:617',12,200,47,35,671,2,2,2,?,?,?,?,?,127,?
418,'2020/12/18 20:30:33:818',12,146,90,34,670,2,1,2,?,?,?,?,?,127,?
419,'2020/12/18 20:30:34:020',12,119,161,36,669,2,1,2,?,?,?,?,?,127,?
420,'2020/12/18 20:30:34:221',12,187,198,35,667,2,2,2,?,?,?,?,?,127,?
421,'2020/12/18 20:30:34:423',12,187,183,34,670,2,2,2,?,?,?,?,?,127,?
422,'2020/12/18 20:30:34:624',12,147,141,34,673,2,2,2,?,?,?,?,?,127,?
423,'2020/12/18 20:30:34:825',12,123,87,35,677,1,2,2,?,?,?,?,?,127,?
424,'2020/12/18 20:30:35:027',12,185,53,35,678,2,2,2,?,?,?,?,?,127,?
425,'2020/12/18 20:30:35:228',12,227,42,35,675,1,2,2,?,?,?,?,?,127,?
426,'2020/12/18 20:30:57:559',13,180,136,95,1,6,2,2,?,?,?,?,?,?,0
427,'2020/12/18 20:30:57:760',13,171,283,104,2,5,2,2,?,?,?,?,?,?,0
428,'2020/12/18 20:30:57:962',13,156,380,82,2,2,2,1,?,?,?,?,?,?,0
429,'2020/12/18 20:30:58:164',13,191,323,58,2,2,2,2,?,?,?,?,?,?,0
430,'2020/12/18 20:30:58:366',13,191,218,41,1,2,2,2,?,?,?,?,?,?,0
431,'2020/12/18 20:30:58:566',13,173,270,33,1,2,2,2,?,?,?,?,?,?,0
432,'2020/12/18 20:30:58:767',13,157,312,33,1,2,2,2,?,?,?,?,?,?,0
433,'2020/12/18 20:30:58:968',13,212,294,34,2,2,2,2,?,?,?,?,?,?,0
434,'2020/12/18 20:30:59:169',13,172,234,35,2,2,2,2,?,?,?,?,?,?,0
435,'2020/12/18 20:30:59:371',13,148,172,62,1,2,2,2,?,?,?,?,?,?,0
436,'2020/12/18 20:30:59:571',13,203,108,66,1,1,2,2,?,?,?,?,?,?,0
437,'2020/12/18 20:30:59:773',13,202,72,63,1,1,2,2,?,?,?,?,?,?,0
438,'2020/12/18 20:30:59:974',13,136,185,337,1,2,2,1,?,?,?,?,?,?,0
439,'2020/12/18 20:31:00:175',13,123,193,387,1,2,2,2,?,?,?,?,?,?,0
440,'2020/12/18 20:31:00:376',13,166,197,376,2,2,2,2,?,?,?,?,?,?,0
441,'2020/12/18 20:31:00:577',13,143,154,137,2,2,2,2,?,?,?,?,?,?,0
442,'2020/12/18 20:31:00:778',13,172,183,90,2,2,2,2,?,?,?,?,?,?,0
443,'2020/12/18 20:31:00:979',13,209,192,54,2,2,2,2,?,?,?,?,?,?,0
444,'2020/12/18 20:31:01:180',13,205,195,38,2,2,2,2,?,?,?,?,?,?,0
445,'2020/12/18 20:31:01:382',13,148,196,36,2,2,2,2,?,?,?,?,?,?,0
446,'2020/12/18 20:31:01:583',13,163,197,36,2,2,2,2,?,?,?,?,?,?,0
447,'2020/12/18 20:31:01:785',13,220,202,35,2,2,2,2,?,?,?,?,?,?,0
448,'2020/12/18 20:31:01:985',13,187,210,34,2,2,2,2,?,?,?,?,?,?,0
449,'2020/12/18 20:31:02:185',13,181,217,33,2,2,2,2,?,?,?,?,?,?,0
450,'2020/12/18 20:31:02:387',13,229,211,48,2,2,2,2,?,?,?,?,?,?,0
451,'2020/12/18 20:31:02:589',13,222,221,48,2,2,2,1,?,?,?,?,?,?,0
452,'2020/12/18 20:31:02:790',13,155,241,48,2,2,2,2,?,?,?,?,?,?,0
453,'2020/12/18 20:31:02:991',13,172,232,36,1,2,2,2,?,?,?,?,?,?,0
454,'2020/12/18 20:31:03:191',13,208,170,33,2,1,2,2,?,?,?,?,?,?,0
455,'2020/12/18 20:31:03:392',13,159,94,33,1,2,2,2,?,?,?,?,?,?,0
456,'2020/12/18 20:31:03:593',13,163,69,33,2,2,2,2,?,?,?,?,?,?,0
457,'2020/12/18 20:31:03:794',13,207,66,36,2,2,2,2,?,?,?,?,?,?,0
458,'2020/12/18 20:31:11:237',14,209,116,47,2,715,2,2,?,?,?,?,?,?,127
459,'2020/12/18 20:31:11:439',14,144,118,54,2,717,2,1,?,?,?,?,?,?,127
460,'2020/12/18 20:31:11:641',14,133,108,59,1,717,2,2,?,?,?,?,?,?,127
461,'2020/12/18 20:31:11:842',14,202,62,59,2,718,2,2,?,?,?,?,?,?,127
462,'2020/12/18 20:31:12:043',14,202,57,50,1,718,2,2,?,?,?,?,?,?,127
463,'2020/12/18 20:31:12:244',14,131,59,44,2,719,2,2,?,?,?,?,?,?,127
464,'2020/12/18 20:31:12:446',14,131,68,42,2,718,2,2,?,?,?,?,?,?,127
465,'2020/12/18 20:31:12:647',14,190,93,41,2,718,2,2,?,?,?,?,?,?,127
466,'2020/12/18 20:31:12:849',14,170,130,41,2,718,2,2,?,?,?,?,?,?,127
467,'2020/12/18 20:31:13:051',14,151,136,48,2,718,2,2,?,?,?,?,?,?,127
468,'2020/12/18 20:31:13:252',14,192,98,49,2,718,2,2,?,?,?,?,?,?,127
469,'2020/12/18 20:31:13:453',14,195,56,48,2,718,2,2,?,?,?,?,?,?,127
470,'2020/12/18 20:31:13:653',14,153,76,43,1,717,2,2,?,?,?,?,?,?,127
471,'2020/12/18 20:31:13:854',14,137,118,45,1,716,2,2,?,?,?,?,?,?,127
472,'2020/12/18 20:31:14:056',14,177,115,45,1,716,2,2,?,?,?,?,?,?,127
473,'2020/12/18 20:31:14:257',14,236,67,45,2,715,2,1,?,?,?,?,?,?,127
474,'2020/12/18 20:31:14:458',14,274,42,45,2,713,2,2,?,?,?,?,?,?,127
475,'2020/12/18 20:31:14:661',14,259,48,47,2,713,2,2,?,?,?,?,?,?,127
476,'2020/12/18 20:31:14:862',14,227,57,49,1,713,2,2,?,?,?,?,?,?,127
477,'2020/12/18 20:31:15:063',14,130,76,50,1,713,2,2,?,?,?,?,?,?,127
478,'2020/12/18 20:31:15:264',14,120,85,48,1,713,2,2,?,?,?,?,?,?,127
479,'2020/12/18 20:31:15:465',14,173,114,49,1,714,2,2,?,?,?,?,?,?,127
480,'2020/12/18 20:31:15:666',14,164,138,48,2,714,2,2,?,?,?,?,?,?,127
481,'2020/12/18 20:31:15:868',14,148,165,48,2,714,2,2,?,?,?,?,?,?,127
482,'2020/12/18 20:31:16:069',14,185,157,47,2,713,2,1,?,?,?,?,?,?,127
483,'2020/12/18 20:31:16:269',14,189,110,46,2,712,2,1,?,?,?,?,?,?,127
484,'2020/12/18 20:31:16:471',14,138,71,43,2,711,2,2,?,?,?,?,?,?,127
485,'2020/12/18 20:31:16:672',14,139,62,46,2,710,2,2,?,?,?,?,?,?,127
486,'2020/12/18 20:31:16:874',14,202,83,48,2,709,2,2,?,?,?,?,?,?,127
487,'2020/12/18 20:31:17:075',14,180,81,52,2,707,2,1,?,?,?,?,?,?,127
488,'2020/12/18 20:32:13:610',15,190,131,35,2,2,2,2,?,?,?,?,?,0,0
489,'2020/12/18 20:32:13:811',15,137,92,35,2,2,2,2,?,?,?,?,?,0,0
490,'2020/12/18 20:32:14:011',15,138,73,34,2,2,2,2,?,?,?,?,?,0,0
491,'2020/12/18 20:32:14:212',15,186,59,34,2,2,2,2,?,?,?,?,?,0,0
492,'2020/12/18 20:32:14:414',15,160,63,33,2,2,2,2,?,?,?,?,?,0,0
