@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric

@data
601,'2020/12/18 20:36:40:549',18,223,58,33,1,2,2,1,0,0,0,0,0,?,?
602,'2020/12/18 20:36:40:750',18,230,56,33,1,2,2,2,0,0,0,0,0,?,?
603,'2020/12/18 20:36:40:951',18,183,46,33,1,2,2,2,0,0,0,0,0,?,?
604,'2020/12/18 20:36:41:152',18,163,46,33,1,2,2,1,0,0,0,0,0,?,?
605,'2020/12/18 20:36:41:354',18,237,79,33,2,2,1,2,0,0,0,0,0,?,?
606,'2020/12/18 20:36:41:554',18,234,110,33,2,2,1,2,0,0,0,0,0,?,?
607,'2020/12/18 20:36:41:755',18,162,141,33,2,2,1,2,0,0,0,0,0,?,?
608,'2020/12/18 20:36:41:957',18,128,135,33,2,2,2,2,0,0,0,0,0,?,?
609,'2020/12/18 20:36:42:158',18,227,130,33,2,2,1,2,0,0,0,0,0,?,?
610,'2020/12/18 20:36:42:359',18,228,147,33,2,2,2,2,0,0,0,0,0,?,?
611,'2020/12/18 20:36:42:561',18,184,168,33,2,2,2,2,0,0,0,0,0,?,?
612,'2020/12/18 20:36:42:762',18,78,215,33,2,2,2,2,0,0,0,0,0,?,?
613,'2020/12/18 20:36:42:963',18,153,219,33,2,2,2,2,0,0,0,0,0,?,?
614,'2020/12/18 20:36:43:164',18,215,179,33,2,1,2,2,0,0,0,0,0,?,?
615,'2020/12/18 20:36:43:365',18,180,139,33,2,2,2,2,0,0,0,0,0,?,?
616,'2020/12/18 20:36:43:566',18,119,145,33,1,2,2,2,0,0,0,0,0,?,?
617,'2020/12/18 20:36:43:767',18,124,176,32,1,2,2,2,0,0,0,0,0,?,?
618,'2020/12/18 20:36:43:969',18,169,195,33,1,2,2,2,0,0,0,0,0,?,?
619,'2020/12/18 20:36:44:171',18,158,199,33,1,2,2,2,0,0,0,0,0,?,?
620,'2020/12/18 20:36:44:372',18,100,197,34,1,2,2,2,0,0,0,0,0,?,?
621,'2020/12/18 20:36:44:573',18,125,158,33,2,1,2,2,0,0,0,0,0,?,?
622,'2020/12/18 20:36:44:774',18,173,113,33,2,1,2,2,0,0,0,0,0,?,?
623,'2020/12/18 20:36:44:975',18,168,64,33,2,1,2,2,0,0,0,0,0,?,?
624,'2020/12/18 20:36:45:175',18,102,55,34,1,2,2,2,0,0,0,0,0,?,?
625,'2020/12/18 20:36:45:377',18,134,108,33,2,2,2,2,0,0,0,0,0,?,?
626,'2020/12/18 20:36:45:578',18,211,157,33,2,2,2,2,0,0,0,0,0,?,?
627,'2020/12/18 20:36:45:779',18,217,177,33,2,2,2,2,0,0,0,0,0,?,?
628,'2020/12/18 20:36:45:979',18,135,133,33,2,2,2,2,0,0,0,0,0,?,?
629,'2020/12/18 20:36:46:181',18,137,75,33,2,2,2,2,0,0,0,0,0,?,?
630,'2020/12/18 20:39:12:856',19,212,1117,34,2,2,2,1,127,127,?,?,?,?,?
631,'2020/12/18 20:39:13:058',19,164,1121,33,2,2,2,2,127,127,?,?,?,?,?
632,'2020/12/18 20:39:13:258',19,157,1121,34,2,2,2,2,127,127,?,?,?,?,?
633,'2020/12/18 20:39:13:460',19,214,1121,35,2,2,2,2,127,127,?,?,?,?,?
634,'2020/12/18 20:39:13:661',19,207,1125,35,2,2,2,2,127,127,?,?,?,?,?
635,'2020/12/18 20:39:13:861',19,136,1125,57,2,2,2,1,127,127,?,?,?,?,?
636,'2020/12/18 20:39:14:062',19,155,1125,59,2,2,2,1,127,127,?,?,?,?,?
637,'2020/12/18 20:39:14:263',19,192,1125,54,2,2,2,2,127,127,?,?,?,?,?
638,'2020/12/18 20:39:14:465',19,159,1125,35,1,2,2,2,127,127,?,?,?,?,?
639,'2020/12/18 20:39:14:666',19,174,1125,35,1,2,2,1,127,127,?,?,?,?,?
640,'2020/12/18 20:39:14:867',19,205,1125,95,1,2,2,2,127,127,?,?,?,?,?
641,'2020/12/18 20:39:15:068',19,240,1125,207,1,2,2,2,127,127,?,?,?,?,?
642,'2020/12/18 20:39:15:268',19,260,1125,211,1,2,2,2,127,127,?,?,?,?,?
643,'2020/12/18 20:39:15:469',19,219,1125,147,2,2,2,1,127,127,?,?,?,?,?
644,'2020/12/18 20:39:15:670',19,203,1125,50,2,2,2,1,127,127,?,?,?,?,?
645,'2020/12/18 20:39:15:872',19,154,1125,34,2,2,2,1,127,127,?,?,?,?,?
646,'2020/12/18 20:39:16:074',19,158,1120,33,2,2,2,2,127,127,?,?,?,?,?
647,'2020/12/18 20:39:16:275',19,173,1120,33,2,2,2,2,127,127,?,?,?,?,?
648,'2020/12/18 20:39:16:477',19,125,1125,33,1,2,2,2,127,127,?,?,?,?,?
649,'2020/12/18 20:39:16:677',19,154,1125,33,1,2,2,2,127,127,?,?,?,?,?
650,'2020/12/18 20:39:16:878',19,188,1125,33,1,2,1,2,127,127,?,?,?,?,?
651,'2020/12/18 20:39:17:079',19,152,1125,32,1,2,2,2,127,127,?,?,?,?,?
652,'2020/12/18 20:39:17:279',19,186,1125,33,1,2,1,2,127,127,?,?,?,?,?
653,'2020/12/18 20:39:17:481',19,252,1125,33,1,2,1,2,127,127,?,?,?,?,?
654,'2020/12/18 20:39:17:682',19,230,1125,33,1,2,1,2,127,127,?,?,?,?,?
655,'2020/12/18 20:39:17:883',19,199,1125,33,2,2,2,2,127,127,?,?,?,?,?
656,'2020/12/18 20:39:18:085',19,208,1125,33,2,2,2,2,127,127,?,?,?,?,?
657,'2020/12/18 20:39:18:286',19,202,1089,32,2,2,2,1,127,127,?,?,?,?,?
658,'2020/12/18 20:39:18:487',19,193,1089,32,2,2,2,2,127,127,?,?,?,?,?
659,'2020/12/18 20:39:18:688',19,183,1095,32,2,2,2,2,127,127,?,?,?,?,?
660,'2020/12/18 20:39:18:889',19,191,1120,32,2,2,2,2,127,127,?,?,?,?,?
661,'2020/12/18 20:39:19:090',19,146,1120,33,2,2,2,2,127,127,?,?,?,?,?
662,'2020/12/18 20:39:19:290',19,164,1125,33,2,2,2,2,127,127,?,?,?,?,?
663,'2020/12/18 20:39:19:490',19,187,1125,33,1,2,2,2,127,127,?,?,?,?,?
664,'2020/12/18 20:39:19:691',19,158,1118,36,1,2,2,2,127,127,?,?,?,?,?
665,'2020/12/18 20:39:19:892',19,148,1072,209,2,2,2,2,127,127,?,?,?,?,?
666,'2020/12/18 20:39:20:094',19,173,973,311,2,1,2,2,127,127,?,?,?,?,?
667,'2020/12/18 20:39:20:296',19,157,962,437,1,2,2,2,127,127,?,?,?,?,?
668,'2020/12/18 20:39:20:496',19,171,915,380,1,2,2,2,127,127,?,?,?,?,?
669,'2020/12/18 20:39:20:697',19,187,911,367,1,2,2,2,127,127,?,?,?,?,?
670,'2020/12/18 20:39:20:897',19,190,953,276,2,2,2,2,127,127,?,?,?,?,?
671,'2020/12/18 20:41:11:554',20,156,37,1125,1,2,2,2,?,?,153,942,127,?,?
672,'2020/12/18 20:41:11:755',20,119,40,1123,2,2,2,2,?,?,153,942,127,?,?
673,'2020/12/18 20:41:11:956',20,123,56,1123,1,2,2,2,?,?,153,942,127,?,?
674,'2020/12/18 20:41:12:157',20,149,63,1125,2,2,2,2,?,?,153,942,127,?,?
675,'2020/12/18 20:41:12:357',20,149,62,1125,1,2,2,2,?,?,153,942,127,?,?
676,'2020/12/18 20:41:12:558',20,114,64,1125,1,2,2,2,?,?,153,942,127,?,?
677,'2020/12/18 20:41:12:758',20,127,88,1101,1,2,2,2,?,?,153,942,127,?,?
678,'2020/12/18 20:41:12:960',20,151,116,1058,1,2,2,2,?,?,153,942,127,?,?
679,'2020/12/18 20:41:13:160',20,110,147,1052,2,2,2,2,?,?,153,942,127,?,?
680,'2020/12/18 20:41:13:361',20,116,166,1082,2,2,2,2,?,?,153,942,127,?,?
681,'2020/12/18 20:41:13:562',20,151,184,1106,2,2,2,2,?,?,153,942,127,?,?
682,'2020/12/18 20:41:13:762',20,151,180,1123,2,2,2,2,?,?,153,942,127,?,?
683,'2020/12/18 20:41:13:963',20,108,165,1121,1,2,2,2,?,?,153,942,127,?,?
684,'2020/12/18 20:41:14:164',20,145,145,1021,1,2,2,2,?,?,153,942,127,?,?
685,'2020/12/18 20:41:14:365',20,167,152,1025,1,2,2,2,?,?,153,942,127,?,?
686,'2020/12/18 20:41:14:567',20,136,198,1049,2,2,2,2,?,?,153,942,127,?,?
687,'2020/12/18 20:41:14:768',20,112,223,1114,2,2,2,2,?,?,153,942,127,?,?
688,'2020/12/18 20:41:14:968',20,168,175,1091,2,2,2,2,?,?,153,942,127,?,?
689,'2020/12/18 20:41:15:170',20,171,91,1084,2,2,2,2,?,?,153,942,127,?,?
690,'2020/12/18 20:41:15:372',20,126,43,1079,2,2,2,2,?,?,153,942,127,?,?
691,'2020/12/18 20:41:15:574',20,113,38,1077,2,2,2,2,?,?,153,942,127,?,?
692,'2020/12/18 20:41:15:775',20,161,37,1079,2,2,2,2,?,?,153,942,127,?,?
693,'2020/12/18 20:41:15:976',20,162,37,1071,2,2,2,2,?,?,153,942,127,?,?
694,'2020/12/18 20:41:16:177',20,110,37,1092,2,2,2,2,?,?,153,942,127,?,?
695,'2020/12/18 20:41:16:378',20,124,40,1116,2,2,2,2,?,?,153,942,127,?,?
696,'2020/12/18 20:41:16:579',20,153,40,1094,2,2,2,1,?,?,153,942,127,?,?
697,'2020/12/18 20:41:16:780',20,131,39,1073,2,2,2,2,?,?,153,942,127,?,?
698,'2020/12/18 20:41:16:981',20,126,39,1077,1,2,2,2,?,?,153,942,127,?,?
699,'2020/12/18 20:41:17:182',20,142,44,1119,2,2,2,2,?,?,153,942,127,?,?
700,'2020/12/18 20:41:17:383',20,142,60,1125,2,2,2,2,?,?,153,942,127,?,?
701,'2020/12/18 20:41:17:585',20,109,86,1120,2,2,2,2,?,?,153,942,127,?,?
702,'2020/12/18 20:41:17:786',20,118,144,1089,1,2,2,1,?,?,153,942,127,?,?
703,'2020/12/18 20:41:17:988',20,141,200,1081,1,2,2,1,?,?,153,942,127,?,?
704,'2020/12/18 20:41:18:189',20,110,223,1066,1,2,2,2,?,?,153,942,127,?,?
705,'2020/12/18 20:41:18:391',20,110,202,1089,2,2,2,2,?,?,153,942,127,?,?
706,'2020/12/18 20:41:18:592',20,151,166,1097,2,2,2,2,?,?,153,942,127,?,?
707,'2020/12/18 20:41:18:793',20,147,122,1120,2,2,2,2,?,?,153,942,127,?,?
708,'2020/12/18 20:41:18:994',20,137,102,1118,2,2,2,2,?,?,153,942,127,?,?
709,'2020/12/18 20:41:19:195',20,159,90,1118,2,2,2,2,?,?,153,942,127,?,?
710,'2020/12/18 20:41:19:396',20,159,81,1108,1,1,2,2,?,?,153,942,127,?,?
711,'2020/12/18 20:41:19:598',20,129,70,1083,1,2,2,2,?,?,153,942,127,?,?
712,'2020/12/18 20:41:19:799',20,126,70,1003,1,2,2,2,?,?,153,942,127,?,?
713,'2020/12/18 20:41:20:001',20,158,66,923,1,2,2,2,?,?,153,942,127,?,?
714,'2020/12/18 20:41:20:202',20,126,82,855,2,2,2,2,?,?,153,942,127,?,?
715,'2020/12/18 20:42:15:326',21,183,1049,1102,2,2,1,2,120,122,457,958,127,?,?
716,'2020/12/18 20:42:15:527',21,189,999,1081,2,2,2,2,120,122,457,958,127,?,?
717,'2020/12/18 20:42:15:728',21,182,1014,1082,1,2,2,1,120,122,457,958,127,?,?
718,'2020/12/18 20:42:15:928',21,184,1065,1117,2,2,2,1,120,122,457,958,127,?,?
719,'2020/12/18 20:42:16:130',21,166,1080,1125,2,2,2,2,120,122,457,958,127,?,?
720,'2020/12/18 20:42:16:330',21,181,997,1125,2,2,1,2,120,122,457,958,127,?,?
721,'2020/12/18 20:42:16:531',21,155,1024,1117,2,2,2,2,120,122,457,958,127,?,?
722,'2020/12/18 20:42:16:733',21,164,959,1058,2,2,2,2,120,122,457,958,127,?,?
723,'2020/12/18 20:42:16:934',21,186,1030,1050,1,1,2,2,120,122,457,958,127,?,?
724,'2020/12/18 20:42:17:136',21,152,1001,1029,1,1,2,2,120,122,457,958,127,?,?
725,'2020/12/18 20:42:17:337',21,175,1093,1052,1,1,2,2,120,122,457,958,127,?,?
726,'2020/12/18 20:42:17:537',21,203,1063,1086,2,2,2,2,120,122,457,958,127,?,?
727,'2020/12/18 20:42:17:738',21,199,1004,1082,2,2,2,2,120,122,457,958,127,?,?
728,'2020/12/18 20:42:17:939',21,188,924,1054,2,2,2,1,120,122,457,958,127,?,?
729,'2020/12/18 20:42:18:140',21,173,950,1032,2,2,2,1,120,122,457,958,127,?,?
730,'2020/12/18 20:42:18:342',21,196,1016,969,2,2,2,1,120,122,457,958,127,?,?
731,'2020/12/18 20:42:18:543',21,159,1066,1013,1,2,2,2,120,122,457,958,127,?,?
732,'2020/12/18 20:42:18:744',21,153,1033,995,2,2,2,2,120,122,457,958,127,?,?
733,'2020/12/18 20:42:18:945',21,178,1009,975,2,2,2,2,120,122,457,958,127,?,?
734,'2020/12/18 20:42:19:148',21,175,930,960,2,2,2,2,120,122,457,958,127,?,?
735,'2020/12/18 20:42:19:349',21,161,800,990,2,2,2,2,120,122,457,958,127,?,?
736,'2020/12/18 20:42:19:549',21,180,792,996,2,2,2,2,120,122,457,958,127,?,?
737,'2020/12/18 20:42:19:749',21,185,801,1026,2,1,2,2,120,122,457,958,127,?,?
738,'2020/12/18 20:42:19:951',21,182,829,964,2,2,2,2,120,122,457,958,127,?,?
739,'2020/12/18 20:42:20:152',21,167,726,976,2,2,2,2,120,122,457,958,127,?,?
740,'2020/12/18 20:42:20:353',21,163,738,1020,1,2,2,2,120,122,457,958,127,?,?
741,'2020/12/18 20:42:20:555',21,168,782,1109,1,2,1,2,120,122,457,958,127,?,?
742,'2020/12/18 20:42:20:756',21,171,764,1097,2,2,2,2,120,122,457,958,127,?,?
743,'2020/12/18 20:42:20:958',21,172,813,1103,2,2,2,2,120,122,457,958,127,?,?
744,'2020/12/18 20:42:21:159',21,140,848,1108,2,2,2,2,120,122,457,958,127,?,?
745,'2020/12/18 20:42:21:360',21,167,940,1122,1,2,2,1,120,122,457,958,127,?,?
746,'2020/12/18 20:42:21:561',21,182,891,1111,1,2,2,2,120,122,457,958,127,?,?
747,'2020/12/18 20:42:21:762',21,148,803,1027,1,1,1,2,120,122,457,958,127,?,?
783,'2020/12/18 20:53:44:860',23,158,240,1079,1,2,2,2,?,?,1000,?,?,?,?
784,'2020/12/18 20:53:45:062',23,150,164,1085,1,2,2,2,?,?,1000,?,?,?,?
785,'2020/12/18 20:53:45:262',23,185,80,1112,1,2,2,2,?,?,1000,?,?,?,?
786,'2020/12/18 20:53:45:464',23,195,99,1125,1,2,2,2,?,?,1000,?,?,?,?
787,'2020/12/18 20:53:45:665',23,162,169,1125,2,2,2,2,?,?,1000,?,?,?,?
788,'2020/12/18 20:53:45:867',23,185,213,1125,1,2,2,2,?,?,1000,?,?,?,?
789,'2020/12/18 20:53:46:068',23,192,202,1125,2,2,2,2,?,?,1000,?,?,?,?
790,'2020/12/18 20:53:46:269',23,181,149,1125,2,2,2,2,?,?,1000,?,?,?,?
791,'2020/12/18 20:53:46:471',23,171,93,1100,2,2,2,2,?,?,1000,?,?,?,?
792,'2020/12/18 20:53:46:672',23,197,60,1112,1,2,2,2,?,?,1000,?,?,?,?
793,'2020/12/18 20:53:46:873',23,192,43,1101,1,2,2,2,?,?,1000,?,?,?,?
794,'2020/12/18 20:53:47:075',23,161,41,1106,2,2,2,1,?,?,1000,?,?,?,?
795,'2020/12/18 20:53:47:275',23,179,44,1102,1,2,2,2,?,?,1000,?,?,?,?
796,'2020/12/18 20:53:47:476',23,200,57,1072,2,1,2,2,?,?,1000,?,?,?,?
797,'2020/12/18 20:53:47:677',23,169,77,1084,2,2,2,2,?,?,1000,?,?,?,?
798,'2020/12/18 20:53:47:879',23,164,146,1076,2,2,2,2,?,?,1000,?,?,?,?
799,'2020/12/18 20:53:48:080',23,196,491,1068,2,2,2,2,?,?,1000,?,?,?,?
800,'2020/12/18 20:53:48:281',23,192,867,1103,2,2,2,2,?,?,1000,?,?,?,?
801,'2020/12/18 20:53:48:482',23,153,1048,1110,2,2,2,2,?,?,1000,?,?,?,?
802,'2020/12/18 20:53:48:684',23,175,1011,1124,1,2,2,2,?,?,1000,?,?,?,?
803,'2020/12/18 20:53:48:886',23,177,1013,1125,2,2,2,2,?,?,1000,?,?,?,?
804,'2020/12/18 20:53:49:087',23,154,1043,1064,1,2,2,2,?,?,1000,?,?,?,?
805,'2020/12/18 20:53:49:287',23,144,816,1050,1,1,2,2,?,?,1000,?,?,?,?
806,'2020/12/18 20:53:49:489',23,181,444,1075,1,2,2,2,?,?,1000,?,?,?,?
807,'2020/12/18 20:53:49:690',23,177,164,1099,1,2,2,2,?,?,1000,?,?,?,?
808,'2020/12/18 20:53:49:892',23,162,55,1046,2,2,2,2,?,?,1000,?,?,?,?
809,'2020/12/18 20:53:50:093',23,148,40,935,1,2,2,2,?,?,1000,?,?,?,?
810,'2020/12/18 20:53:50:293',23,168,39,794,1,2,2,2,?,?,1000,?,?,?,?
811,'2020/12/18 20:53:50:494',23,139,41,730,2,2,2,2,?,?,1000,?,?,?,?
812,'2020/12/18 20:53:50:694',23,140,51,872,2,2,2,2,?,?,1000,?,?,?,?
813,'2020/12/18 20:53:50:896',23,163,52,1042,2,2,2,2,?,?,1000,?,?,?,?
814,'2020/12/18 20:53:51:097',23,172,49,1125,1,2,2,2,?,?,1000,?,?,?,?
815,'2020/12/18 20:53:51:297',23,165,42,1105,2,2,2,2,?,?,1000,?,?,?,?
816,'2020/12/18 20:54:42:988',24,153,48,852,2,2,2,1,?,?,1000,?,?,?,?
817,'2020/12/18 20:54:43:189',24,176,41,837,2,2,2,2,?,?,1000,?,?,?,?
818,'2020/12/18 20:54:43:390',24,177,46,832,2,2,2,2,?,?,1000,?,?,?,?
819,'2020/12/18 20:54:43:591',24,149,69,801,2,2,2,2,?,?,1000,?,?,?,?
820,'2020/12/18 20:54:43:792',24,142,91,799,2,1,2,2,?,?,1000,?,?,?,?
821,'2020/12/18 20:54:43:994',24,175,104,904,2,2,2,2,?,?,1000,?,?,?,?
822,'2020/12/18 20:54:44:196',24,144,83,1019,2,1,2,2,?,?,1000,?,?,?,?
823,'2020/12/18 20:54:44:397',24,139,59,925,1,2,2,2,?,?,1000,?,?,?,?
824,'2020/12/18 20:54:44:598',24,195,53,754,1,2,2,2,?,?,1000,?,?,?,?
825,'2020/12/18 20:54:44:799',24,194,51,751,1,2,2,2,?,?,1000,?,?,?,?
826,'2020/12/18 20:54:45:001',24,149,44,909,2,1,2,2,?,?,1000,?,?,?,?
827,'2020/12/18 20:54:45:202',24,128,38,1085,2,2,2,2,?,?,1000,?,?,?,?
828,'2020/12/18 20:54:45:403',24,183,42,1035,2,2,2,2,?,?,1000,?,?,?,?
829,'2020/12/18 20:54:45:604',24,182,45,898,2,2,2,2,?,?,1000,?,?,?,?
830,'2020/12/18 20:54:45:805',24,150,50,820,2,1,2,2,?,?,1000,?,?,?,?
831,'2020/12/18 20:54:46:006',24,155,48,917,2,2,2,2,?,?,1000,?,?,?,?
832,'2020/12/18 20:54:46:208',24,183,47,1057,1,2,2,2,?,?,1000,?,?,?,?
833,'2020/12/18 20:54:46:409',24,161,50,1125,2,2,2,2,?,?,1000,?,?,?,?
834,'2020/12/18 20:54:46:610',24,155,52,943,2,2,2,2,?,?,1000,?,?,?,?
835,'2020/12/18 20:54:46:812',24,188,51,832,2,2,2,2,?,?,1000,?,?,?,?
836,'2020/12/18 20:54:47:012',24,192,43,810,2,2,2,2,?,?,1000,?,?,?,?
837,'2020/12/18 20:54:47:213',24,160,44,990,2,2,2,2,?,?,1000,?,?,?,?
838,'2020/12/18 20:54:47:414',24,149,60,1111,1,2,2,2,?,?,1000,?,?,?,?
839,'2020/12/18 20:54:47:615',24,192,60,1058,2,2,2,2,?,?,1000,?,?,?,?
840,'2020/12/18 20:54:47:815',24,185,53,1030,1,2,2,2,?,?,1000,?,?,?,?
841,'2020/12/18 20:54:48:017',24,134,47,1041,2,2,2,2,?,?,1000,?,?,?,?
842,'2020/12/18 20:54:48:218',24,138,102,1101,1,2,2,2,?,?,1000,?,?,?,?
843,'2020/12/18 20:54:48:420',24,186,152,1125,1,2,2,2,?,?,1000,?,?,?,?
844,'2020/12/18 20:54:48:620',24,160,157,1057,1,2,2,2,?,?,1000,?,?,?,?
845,'2020/12/18 20:54:48:822',24,166,121,966,1,2,2,2,?,?,1000,?,?,?,?
846,'2020/12/18 20:54:49:023',24,169,71,866,2,1,2,2,?,?,1000,?,?,?,?
847,'2020/12/18 20:54:49:224',24,170,47,936,1,2,2,2,?,?,1000,?,?,?,?
848,'2020/12/18 20:54:49:425',24,172,58,974,2,2,2,2,?,?,1000,?,?,?,?
849,'2020/12/18 20:54:49:626',24,193,70,796,2,2,2,2,?,?,1000,?,?,?,?
850,'2020/12/18 20:54:49:827',24,190,81,661,2,2,2,2,?,?,1000,?,?,?,?
851,'2020/12/18 20:54:50:029',24,166,76,752,1,2,2,2,?,?,1000,?,?,?,?
852,'2020/12/18 20:54:50:229',24,183,65,972,2,2,2,2,?,?,1000,?,?,?,?
853,'2020/12/18 20:54:50:429',24,227,48,1125,1,2,2,2,?,?,1000,?,?,?,?
854,'2020/12/18 20:54:50:631',24,207,42,1125,2,2,1,2,?,?,1000,?,?,?,?
855,'2020/12/18 20:54:50:831',24,204,41,1085,2,2,2,2,?,?,1000,?,?,?,?
