@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute helper-1 numeric
@attribute helper-2 numeric
@attribute helper-3 numeric
@attribute helper-4 numeric
@attribute helper-5 numeric
@attribute helper-6 numeric
@attribute helper-7 numeric
@attribute giveme-1 numeric
@attribute giveme-2 numeric
@attribute giveme-3 numeric
@attribute giveme-4 numeric
@attribute giveme-5 numeric
@attribute giveme-6 numeric

@data
65,'2019/12/18 13:00:55:038',1,451,30,48,4,882,2,23,0,?,?,?,?,?
66,'2019/12/18 13:00:55:038',1,451,30,48,4,882,2,23,0,?,?,?,?,?
67,'2019/12/18 13:00:55:038',1,451,30,48,4,882,2,23,0,?,?,?,?,?
68,'2019/12/18 13:00:55:038',1,451,30,48,4,882,2,23,0,?,?,?,?,?
69,'2019/12/18 13:00:55:038',1,451,30,48,4,882,2,23,0,?,?,?,?,?
70,'2019/12/18 13:00:55:039',1,451,30,48,4,882,2,23,0,?,?,?,?,?
71,'2019/12/18 13:00:55:088',1,435,30,48,4,882,2,23,0,?,?,?,?,?
72,'2019/12/18 13:00:55:088',1,435,30,48,4,882,2,23,0,?,?,?,?,?
73,'2019/12/18 13:00:55:089',1,435,30,49,4,882,2,23,0,?,?,?,?,?
74,'2019/12/18 13:00:55:089',1,435,30,49,4,882,2,23,0,?,?,?,?,?
75,'2019/12/18 13:00:55:089',1,435,30,49,4,882,2,23,0,?,?,?,?,?
76,'2019/12/18 13:00:55:089',1,435,30,49,4,882,1,23,0,?,?,?,?,?
77,'2019/12/18 13:00:55:089',1,435,30,49,4,882,1,23,0,?,?,?,?,?
78,'2019/12/18 13:00:55:142',1,430,30,49,4,882,1,23,0,?,?,?,?,?
79,'2019/12/18 13:00:55:142',1,430,30,49,4,882,1,23,0,?,?,?,?,?
80,'2019/12/18 13:00:55:142',1,430,30,49,4,882,1,23,0,?,?,?,?,?
81,'2019/12/18 13:00:55:143',1,430,30,49,4,882,1,23,0,?,?,?,?,?
82,'2019/12/18 13:00:55:143',1,430,30,49,4,882,1,23,0,?,?,?,?,?
83,'2019/12/18 13:00:55:143',1,430,30,49,4,882,2,23,0,?,?,?,?,?
84,'2019/12/18 13:00:55:143',1,430,30,49,4,882,2,23,0,?,?,?,?,?
85,'2019/12/18 13:00:55:191',1,426,30,49,4,882,2,23,0,?,?,?,?,?
86,'2019/12/18 13:00:55:191',1,426,30,49,4,882,2,23,0,?,?,?,?,?
87,'2019/12/18 13:00:55:192',1,426,30,49,4,882,2,23,0,?,?,?,?,?
88,'2019/12/18 13:00:55:192',1,426,30,49,4,882,2,23,0,?,?,?,?,?
89,'2019/12/18 13:00:55:192',1,426,30,49,4,882,2,23,0,?,?,?,?,?
90,'2019/12/18 13:00:55:192',1,426,30,49,4,882,1,23,0,?,?,?,?,?
91,'2019/12/18 13:00:55:192',1,426,30,49,4,882,1,23,0,?,?,?,?,?
92,'2019/12/18 13:00:55:242',1,417,30,49,4,882,1,23,0,?,?,?,?,?
93,'2019/12/18 13:00:55:242',1,417,30,49,4,882,1,23,0,?,?,?,?,?
94,'2019/12/18 13:00:55:242',1,417,30,49,4,882,1,23,0,?,?,?,?,?
95,'2019/12/18 13:00:55:242',1,417,30,49,4,882,1,23,0,?,?,?,?,?
96,'2019/12/18 13:00:55:242',1,417,30,49,4,882,1,23,0,?,?,?,?,?
97,'2019/12/18 13:00:55:242',1,417,30,49,4,882,2,23,0,?,?,?,?,?
98,'2019/12/18 13:00:55:243',1,417,30,49,4,882,2,23,0,?,?,?,?,?
99,'2019/12/18 13:00:55:291',1,416,30,49,4,882,2,23,0,?,?,?,?,?
100,'2019/12/18 13:00:55:291',1,416,30,49,4,882,2,23,0,?,?,?,?,?
101,'2019/12/18 13:00:55:291',1,416,30,49,4,882,2,23,0,?,?,?,?,?
102,'2019/12/18 13:00:55:291',1,416,30,49,4,882,2,23,0,?,?,?,?,?
103,'2019/12/18 13:00:55:291',1,416,30,49,4,882,2,23,0,?,?,?,?,?
104,'2019/12/18 13:00:55:291',1,416,30,49,4,882,2,23,0,?,?,?,?,?
105,'2019/12/18 13:00:55:291',1,416,30,49,4,882,2,23,0,?,?,?,?,?
106,'2019/12/18 13:00:55:322',1,437,30,49,4,882,2,23,0,?,?,?,?,?
107,'2019/12/18 13:00:55:322',1,437,30,49,4,882,2,23,0,?,?,?,?,?
108,'2019/12/18 13:00:55:322',1,437,30,49,4,882,2,23,0,?,?,?,?,?
109,'2019/12/18 13:00:55:322',1,437,30,49,5,882,2,23,0,?,?,?,?,?
110,'2019/12/18 13:00:55:322',1,437,30,49,5,882,2,23,0,?,?,?,?,?
111,'2019/12/18 13:00:55:322',1,437,30,49,5,882,2,23,0,?,?,?,?,?
112,'2019/12/18 13:00:55:322',1,437,30,49,5,882,2,23,0,?,?,?,?,?
113,'2019/12/18 13:00:55:369',1,458,30,49,5,882,2,23,0,?,?,?,?,?
114,'2019/12/18 13:00:55:369',1,458,30,49,5,882,2,23,0,?,?,?,?,?
115,'2019/12/18 13:00:55:369',1,458,30,49,5,882,2,23,0,?,?,?,?,?
116,'2019/12/18 13:00:55:369',1,458,30,49,5,882,2,23,0,?,?,?,?,?
117,'2019/12/18 13:00:55:369',1,458,30,49,5,882,2,23,0,?,?,?,?,?
118,'2019/12/18 13:00:55:369',1,458,30,49,5,882,2,23,0,?,?,?,?,?
119,'2019/12/18 13:00:55:369',1,458,30,49,5,882,2,23,0,?,?,?,?,?
120,'2019/12/18 13:00:55:419',1,471,30,49,5,882,2,23,0,?,?,?,?,?
121,'2019/12/18 13:00:55:419',1,471,30,49,5,882,2,23,0,?,?,?,?,?
122,'2019/12/18 13:00:55:419',1,471,30,49,5,882,2,23,0,?,?,?,?,?
123,'2019/12/18 13:00:55:419',1,471,30,49,5,882,2,23,0,?,?,?,?,?
124,'2019/12/18 13:00:55:419',1,471,30,49,5,882,2,23,0,?,?,?,?,?
125,'2019/12/18 13:00:55:419',1,471,30,49,5,882,1,23,0,?,?,?,?,?
126,'2019/12/18 13:00:55:419',1,471,30,49,5,882,1,23,0,?,?,?,?,?
127,'2019/12/18 13:00:55:465',1,501,30,49,5,882,1,23,0,?,?,?,?,?
128,'2019/12/18 13:00:55:465',1,501,30,49,5,882,1,23,0,?,?,?,?,?
129,'2019/12/18 13:00:55:465',1,501,30,49,5,882,1,23,0,?,?,?,?,?
130,'2019/12/18 13:00:55:465',1,501,30,49,5,882,1,23,0,?,?,?,?,?
131,'2019/12/18 13:00:55:465',1,501,30,49,5,882,1,23,0,?,?,?,?,?
132,'2019/12/18 13:00:55:465',1,501,30,49,5,882,1,23,0,?,?,?,?,?
133,'2019/12/18 13:00:55:466',1,501,30,49,5,882,1,23,0,?,?,?,?,?
134,'2019/12/18 13:00:55:513',1,530,30,49,5,882,1,23,0,?,?,?,?,?
135,'2019/12/18 13:00:55:514',1,530,30,49,5,882,1,23,0,?,?,?,?,?
136,'2019/12/18 13:00:55:514',1,530,30,49,5,882,1,23,0,?,?,?,?,?
137,'2019/12/18 13:00:55:514',1,530,30,49,5,882,1,23,0,?,?,?,?,?
138,'2019/12/18 13:00:55:514',1,530,30,49,5,882,1,23,0,?,?,?,?,?
139,'2019/12/18 13:00:55:514',1,530,30,49,5,882,1,23,0,?,?,?,?,?
140,'2019/12/18 13:00:55:514',1,530,30,49,5,882,1,23,0,?,?,?,?,?
141,'2019/12/18 13:00:55:561',1,539,30,49,5,882,1,23,0,?,?,?,?,?
142,'2019/12/18 13:00:55:561',1,539,30,49,5,882,1,23,0,?,?,?,?,?
143,'2019/12/18 13:00:55:562',1,539,30,48,5,882,1,23,0,?,?,?,?,?
144,'2019/12/18 13:00:55:562',1,539,30,48,5,882,1,23,0,?,?,?,?,?
145,'2019/12/18 13:00:55:562',1,539,30,48,5,881,1,23,0,?,?,?,?,?
146,'2019/12/18 13:00:55:562',1,539,30,48,5,881,1,23,0,?,?,?,?,?
147,'2019/12/18 13:00:55:562',1,539,30,48,5,881,1,23,0,?,?,?,?,?
148,'2019/12/18 13:00:55:609',1,553,30,48,5,881,1,23,0,?,?,?,?,?
149,'2019/12/18 13:00:55:609',1,553,30,48,5,881,1,23,0,?,?,?,?,?
150,'2019/12/18 13:00:55:610',1,553,30,48,5,881,1,23,0,?,?,?,?,?
151,'2019/12/18 13:00:55:610',1,553,30,48,5,881,1,23,0,?,?,?,?,?
152,'2019/12/18 13:00:55:610',1,553,30,48,5,881,1,23,0,?,?,?,?,?
153,'2019/12/18 13:00:55:610',1,553,30,48,5,881,1,23,0,?,?,?,?,?
154,'2019/12/18 13:00:55:610',1,553,30,48,5,881,1,23,0,?,?,?,?,?
155,'2019/12/18 13:00:55:657',1,574,30,48,5,881,1,23,0,?,?,?,?,?
156,'2019/12/18 13:00:55:657',1,574,30,48,5,881,1,23,0,?,?,?,?,?
157,'2019/12/18 13:00:55:657',1,574,30,48,5,881,1,23,0,?,?,?,?,?
158,'2019/12/18 13:00:55:657',1,574,30,48,4,881,1,23,0,?,?,?,?,?
159,'2019/12/18 13:00:55:658',1,574,30,48,4,881,1,23,0,?,?,?,?,?
160,'2019/12/18 13:00:55:658',1,574,30,48,4,881,1,23,0,?,?,?,?,?
161,'2019/12/18 13:00:55:658',1,574,30,48,4,881,1,23,0,?,?,?,?,?
162,'2019/12/18 13:00:55:704',1,568,30,48,4,881,1,23,0,?,?,?,?,?
163,'2019/12/18 13:00:55:704',1,568,30,48,4,881,1,23,0,?,?,?,?,?
164,'2019/12/18 13:00:55:704',1,568,30,49,4,881,1,23,0,?,?,?,?,?
165,'2019/12/18 13:00:55:704',1,568,30,49,4,881,1,23,0,?,?,?,?,?
166,'2019/12/18 13:00:55:704',1,568,30,49,4,880,1,23,0,?,?,?,?,?
167,'2019/12/18 13:00:55:704',1,568,30,49,4,880,1,23,0,?,?,?,?,?
168,'2019/12/18 13:00:55:705',1,568,30,49,4,880,1,23,0,?,?,?,?,?
169,'2019/12/18 13:00:55:753',1,567,30,49,4,880,1,23,0,?,?,?,?,?
170,'2019/12/18 13:00:55:753',1,567,30,49,4,880,1,23,0,?,?,?,?,?
171,'2019/12/18 13:00:55:753',1,567,30,50,4,880,1,23,0,?,?,?,?,?
172,'2019/12/18 13:00:55:753',1,567,30,50,4,880,1,23,0,?,?,?,?,?
173,'2019/12/18 13:00:55:753',1,567,30,50,4,880,1,23,0,?,?,?,?,?
174,'2019/12/18 13:00:55:753',1,567,30,50,4,880,1,23,0,?,?,?,?,?
175,'2019/12/18 13:00:55:754',1,567,30,50,4,880,1,23,0,?,?,?,?,?
176,'2019/12/18 13:00:55:805',1,555,30,50,4,880,1,23,0,?,?,?,?,?
177,'2019/12/18 13:00:55:805',1,555,30,50,4,880,1,23,0,?,?,?,?,?
178,'2019/12/18 13:00:55:805',1,555,30,50,4,880,1,23,0,?,?,?,?,?
179,'2019/12/18 13:00:55:806',1,555,30,50,4,880,1,23,0,?,?,?,?,?
180,'2019/12/18 13:00:55:806',1,555,30,50,4,880,1,23,0,?,?,?,?,?
181,'2019/12/18 13:00:55:806',1,555,30,50,4,880,1,23,0,?,?,?,?,?
182,'2019/12/18 13:00:55:806',1,555,30,50,4,880,1,23,0,?,?,?,?,?
183,'2019/12/18 13:00:55:856',1,538,30,50,4,880,1,23,0,?,?,?,?,?
184,'2019/12/18 13:00:55:856',1,538,30,50,4,880,1,23,0,?,?,?,?,?
185,'2019/12/18 13:00:55:856',1,538,30,50,4,880,1,23,0,?,?,?,?,?
186,'2019/12/18 13:00:55:856',1,538,30,50,4,880,1,23,0,?,?,?,?,?
187,'2019/12/18 13:00:55:856',1,538,30,50,4,879,1,23,0,?,?,?,?,?
188,'2019/12/18 13:00:55:856',1,538,30,50,4,879,1,23,0,?,?,?,?,?
189,'2019/12/18 13:00:55:856',1,538,30,50,4,879,1,23,0,?,?,?,?,?
190,'2019/12/18 13:00:55:907',1,517,30,50,4,879,1,23,0,?,?,?,?,?
191,'2019/12/18 13:00:55:907',1,517,30,50,4,879,1,23,0,?,?,?,?,?
192,'2019/12/18 13:00:55:907',1,517,30,50,4,879,1,23,0,?,?,?,?,?
193,'2019/12/18 13:00:55:907',1,517,30,50,5,879,1,23,0,?,?,?,?,?
194,'2019/12/18 13:00:55:907',1,517,30,50,5,879,1,23,0,?,?,?,?,?
195,'2019/12/18 13:00:55:907',1,517,30,50,5,879,1,23,0,?,?,?,?,?
196,'2019/12/18 13:00:55:907',1,517,30,50,5,879,1,23,0,?,?,?,?,?
